,date,name,price
0,2016-01-01,节瓜,2.7
1,2016-01-02,节瓜,3.0
2,2016-01-03,节瓜,3.0
3,2016-01-04,节瓜,3.0
4,2016-01-05,节瓜,3.0
5,2016-01-06,节瓜,3.0
6,2016-01-07,节瓜,3.0
7,2016-01-08,节瓜,3.0
8,2016-01-09,节瓜,3.0
9,2016-01-10,节瓜,3.0
10,2016-01-11,节瓜,3.2
11,2016-01-12,节瓜,3.2
12,2016-01-13,节瓜,3.5
13,2016-01-14,节瓜,3.5
14,2016-01-15,节瓜,3.5
15,2016-01-16,节瓜,3.5
16,2016-01-17,节瓜,3.5
17,2016-01-18,节瓜,3.5
18,2016-01-19,节瓜,3.5
19,2016-01-20,节瓜,3.5
20,2016-01-21,节瓜,3.5
21,2016-01-22,节瓜,3.4
22,2016-01-23,节瓜,3.4
23,2016-01-24,节瓜,4.8
24,2016-01-25,节瓜,4.8
25,2016-01-26,节瓜,4.8
26,2016-01-27,节瓜,4.8
27,2016-01-28,节瓜,4.8
28,2016-01-29,节瓜,4.8
29,2016-01-30,节瓜,4.8
30,2016-01-31,节瓜,4.8
31,2016-02-01,节瓜,4.8
32,2016-02-02,节瓜,4.8
33,2016-02-03,节瓜,4.8
34,2016-02-04,节瓜,5.0
35,2016-02-05,节瓜,5.1
36,2016-02-06,节瓜,5.3
37,2016-02-07,节瓜,5.5
38,2016-02-08,节瓜,5.5
39,2016-02-09,节瓜,5.6
40,2016-02-10,节瓜,5.6
41,2016-02-11,节瓜,4.8
42,2016-02-12,节瓜,4.8
43,2016-02-13,节瓜,4.7
44,2016-02-14,节瓜,4.5
45,2016-02-15,节瓜,4.8
46,2016-02-16,节瓜,5.0
47,2016-02-17,节瓜,5.0
48,2016-02-18,节瓜,5.6
49,2016-02-19,节瓜,5.5
50,2016-02-20,节瓜,5.5
51,2016-02-21,节瓜,5.3
52,2016-02-22,节瓜,5.0
53,2016-02-23,节瓜,5.0
54,2016-02-24,节瓜,4.8
55,2016-02-25,节瓜,5.0
56,2016-02-26,节瓜,6.0
57,2016-02-27,节瓜,7.0
58,2016-02-28,节瓜,8.5
59,2016-02-29,节瓜,10.0
60,2016-03-01,节瓜,11.5
61,2016-03-02,节瓜,13.0
62,2016-03-03,节瓜,14.5
63,2016-03-04,节瓜,14.1
64,2016-03-05,节瓜,13.7
65,2016-03-06,节瓜,11.5
66,2016-03-07,节瓜,11.2
67,2016-03-08,节瓜,10.9
68,2016-03-09,节瓜,10.5
69,2016-03-10,节瓜,9.7
70,2016-03-11,节瓜,9.0
71,2016-03-12,节瓜,8.0
72,2016-03-13,节瓜,7.2
73,2016-03-14,节瓜,6.5
74,2016-03-15,节瓜,7.0
75,2016-03-16,节瓜,7.5
76,2016-03-17,节瓜,8.0
77,2016-03-18,节瓜,8.2
78,2016-03-19,节瓜,8.0
79,2016-03-20,节瓜,8.3
80,2016-03-21,节瓜,8.2
81,2016-03-22,节瓜,8.5
82,2016-03-23,节瓜,8.6
83,2016-03-24,节瓜,8.5
84,2016-03-25,节瓜,8.2
85,2016-03-26,节瓜,8.5
86,2016-03-27,节瓜,8.5
87,2016-03-28,节瓜,8.5
88,2016-03-29,节瓜,8.5
89,2016-03-30,节瓜,8.5
90,2016-03-31,节瓜,8.2
