,date,name,price
0,2016-01-01,芥兰,5.9
1,2016-01-02,芥兰,6.0
2,2016-01-03,芥兰,6.0
3,2016-01-04,芥兰,6.0
4,2016-01-05,芥兰,6.0
5,2016-01-06,芥兰,4.8
6,2016-01-07,芥兰,4.3
7,2016-01-08,芥兰,4.0
8,2016-01-09,芥兰,4.0
9,2016-01-10,芥兰,4.0
10,2016-01-11,芥兰,4.0
11,2016-01-12,芥兰,4.0
12,2016-01-13,芥兰,4.0
13,2016-01-14,芥兰,4.0
14,2016-01-15,芥兰,4.0
15,2016-01-16,芥兰,4.0
16,2016-01-17,芥兰,4.0
17,2016-01-18,芥兰,4.0
18,2016-01-19,芥兰,4.0
19,2016-01-20,芥兰,4.0
20,2016-01-21,芥兰,4.2
21,2016-01-22,芥兰,4.4
22,2016-01-23,芥兰,4.5
23,2016-01-24,芥兰,6.0
24,2016-01-25,芥兰,6.0
25,2016-01-26,芥兰,6.4
26,2016-01-27,芥兰,6.7
27,2016-01-28,芥兰,7.2
28,2016-01-29,芥兰,7.9
29,2016-01-30,芥兰,8.5
30,2016-01-31,芥兰,10.0
31,2016-02-01,芥兰,10.0
32,2016-02-02,芥兰,11.0
33,2016-02-03,芥兰,12.0
34,2016-02-04,芥兰,12.4
35,2016-02-05,芥兰,12.8
36,2016-02-06,芥兰,13.1
37,2016-02-07,芥兰,13.5
38,2016-02-08,芥兰,15.0
39,2016-02-09,芥兰,14.8
40,2016-02-10,芥兰,15.0
41,2016-02-11,芥兰,14.0
42,2016-02-12,芥兰,13.8
43,2016-02-13,芥兰,13.6
44,2016-02-14,芥兰,12.0
45,2016-02-15,芥兰,9.5
46,2016-02-16,芥兰,7.0
47,2016-02-17,芥兰,7.0
48,2016-02-18,芥兰,7.0
49,2016-02-19,芥兰,6.6
50,2016-02-20,芥兰,6.5
51,2016-02-21,芥兰,6.6
52,2016-02-22,芥兰,7.0
53,2016-02-23,芥兰,7.0
54,2016-02-24,芥兰,7.5
55,2016-02-25,芥兰,7.5
56,2016-02-26,芥兰,8.0
57,2016-02-27,芥兰,7.5
58,2016-02-28,芥兰,8.0
59,2016-02-29,芥兰,8.0
60,2016-03-01,芥兰,8.0
61,2016-03-02,芥兰,8.2
62,2016-03-03,芥兰,8.5
63,2016-03-04,芥兰,8.8
64,2016-03-05,芥兰,8.5
65,2016-03-06,芥兰,8.0
66,2016-03-07,芥兰,7.8
67,2016-03-08,芥兰,7.5
68,2016-03-09,芥兰,7.2
69,2016-03-10,芥兰,7.0
70,2016-03-11,芥兰,7.0
71,2016-03-12,芥兰,7.0
72,2016-03-13,芥兰,7.0
73,2016-03-14,芥兰,7.0
74,2016-03-15,芥兰,7.0
75,2016-03-16,芥兰,7.0
76,2016-03-17,芥兰,7.0
77,2016-03-18,芥兰,7.0
78,2016-03-19,芥兰,7.0
79,2016-03-20,芥兰,7.0
80,2016-03-21,芥兰,7.0
81,2016-03-22,芥兰,7.0
82,2016-03-23,芥兰,7.0
83,2016-03-24,芥兰,7.0
84,2016-03-25,芥兰,5.8
85,2016-03-26,芥兰,6.0
86,2016-03-27,芥兰,6.5
87,2016-03-28,芥兰,6.7
88,2016-03-29,芥兰,7.0
89,2016-03-30,芥兰,7.0
90,2016-03-31,芥兰,7.0
91,2016-04-01,芥兰,7.0
92,2016-04-02,芥兰,7.0
93,2016-04-03,芥兰,7.0
94,2016-04-04,芥兰,7.0
95,2016-04-05,芥兰,7.0
96,2016-04-06,芥兰,6.5
97,2016-04-07,芥兰,6.2
98,2016-04-08,芥兰,6.0
99,2016-04-09,芥兰,5.8
100,2016-04-10,芥兰,5.8
101,2016-04-11,芥兰,5.7
102,2016-04-12,芥兰,5.6
103,2016-04-13,芥兰,5.2
104,2016-04-14,芥兰,5.0
105,2016-04-15,芥兰,5.0
106,2016-04-16,芥兰,5.0
107,2016-04-17,芥兰,5.0
108,2016-04-18,芥兰,5.0
109,2016-04-19,芥兰,5.0
110,2016-04-20,芥兰,5.0
111,2016-04-21,芥兰,5.0
112,2016-04-22,芥兰,5.0
113,2016-04-23,芥兰,5.0
114,2016-04-24,芥兰,5.0
115,2016-04-25,芥兰,5.0
116,2016-04-26,芥兰,5.0
117,2016-04-27,芥兰,5.2
118,2016-04-28,芥兰,5.2
119,2016-04-29,芥兰,5.5
120,2016-04-30,芥兰,5.5
121,2016-05-01,芥兰,5.6
122,2016-05-02,芥兰,5.6
123,2016-05-03,芥兰,5.5
124,2016-05-04,芥兰,5.5
125,2016-05-05,芥兰,5.6
126,2016-05-06,芥兰,5.6
127,2016-05-07,芥兰,5.5
128,2016-05-08,芥兰,5.6
129,2016-05-09,芥兰,5.6
130,2016-05-10,芥兰,5.5
131,2016-05-11,芥兰,5.6
132,2016-05-12,芥兰,5.5
133,2016-05-13,芥兰,5.6
134,2016-05-14,芥兰,5.5
135,2016-05-15,芥兰,5.3
136,2016-05-16,芥兰,5.6
137,2016-05-17,芥兰,4.8
138,2016-05-18,芥兰,4.4
139,2016-05-19,芥兰,4.0
140,2016-05-20,芥兰,3.8
141,2016-05-21,芥兰,3.6
142,2016-05-22,芥兰,3.5
143,2016-05-23,芥兰,3.8
144,2016-05-24,芥兰,3.5
145,2016-05-25,芥兰,3.2
146,2016-05-26,芥兰,2.9
147,2016-05-27,芥兰,2.6
148,2016-05-28,芥兰,2.5
149,2016-05-29,芥兰,2.4
150,2016-05-30,芥兰,2.9
151,2016-05-31,芥兰,3.0
152,2016-06-01,芥兰,3.0
153,2016-06-02,芥兰,3.0
154,2016-06-03,芥兰,3.0
155,2016-06-04,芥兰,3.1
156,2016-06-05,芥兰,3.1
157,2016-06-06,芥兰,3.2
158,2016-06-07,芥兰,3.3
159,2016-06-08,芥兰,3.3
160,2016-06-09,芥兰,3.2
161,2016-06-10,芥兰,3.3
162,2016-06-11,芥兰,3.3
163,2016-06-12,芥兰,3.3
164,2016-06-13,芥兰,3.3
165,2016-06-14,芥兰,3.2
166,2016-06-15,芥兰,3.2
167,2016-06-16,芥兰,3.1
168,2016-06-17,芥兰,3.1
169,2016-06-18,芥兰,3.0
170,2016-06-19,芥兰,3.0
171,2016-06-20,芥兰,3.0
172,2016-06-21,芥兰,3.3
173,2016-06-22,芥兰,3.5
174,2016-06-23,芥兰,3.6
175,2016-06-24,芥兰,3.6
176,2016-06-25,芥兰,3.6
177,2016-06-26,芥兰,3.6
178,2016-06-27,芥兰,3.4
179,2016-06-28,芥兰,3.3
180,2016-06-29,芥兰,3.3
181,2016-06-30,芥兰,3.7
182,2016-07-01,芥兰,3.9
183,2016-07-02,芥兰,3.9
184,2016-07-03,芥兰,3.9
185,2016-07-04,芥兰,3.9
186,2016-07-05,芥兰,3.7
187,2016-07-06,芥兰,3.7
188,2016-07-07,芥兰,3.7
189,2016-07-08,芥兰,3.7
190,2016-07-09,芥兰,3.7
191,2016-07-10,芥兰,3.7
192,2016-07-11,芥兰,3.7
193,2016-07-12,芥兰,3.7
194,2016-07-13,芥兰,3.7
195,2016-07-14,芥兰,3.5
196,2016-07-15,芥兰,3.5
197,2016-07-16,芥兰,3.5
198,2016-07-17,芥兰,3.5
199,2016-07-18,芥兰,3.5
200,2016-07-19,芥兰,3.5
201,2016-07-20,芥兰,3.5
202,2016-07-21,芥兰,3.6
203,2016-07-22,芥兰,3.6
204,2016-07-23,芥兰,3.7
205,2016-07-24,芥兰,3.7
206,2016-07-25,芥兰,3.7
207,2016-07-26,芥兰,3.6
208,2016-07-27,芥兰,3.6
209,2016-07-28,芥兰,3.6
210,2016-07-29,芥兰,3.6
211,2016-07-30,芥兰,3.6
212,2016-07-31,芥兰,3.6
213,2016-08-01,芥兰,3.7
214,2016-08-02,芥兰,3.8
215,2016-08-03,芥兰,4.2
216,2016-08-04,芥兰,4.5
217,2016-08-05,芥兰,4.6
218,2016-08-06,芥兰,4.7
219,2016-08-07,芥兰,4.8
220,2016-08-08,芥兰,4.7
221,2016-08-09,芥兰,4.9
222,2016-08-10,芥兰,5.0
223,2016-08-11,芥兰,5.2
224,2016-08-12,芥兰,5.3
225,2016-08-13,芥兰,5.4
226,2016-08-14,芥兰,5.0
227,2016-08-15,芥兰,4.9
228,2016-08-16,芥兰,5.0
229,2016-08-17,芥兰,5.1
230,2016-08-18,芥兰,5.0
231,2016-08-19,芥兰,5.0
232,2016-08-20,芥兰,5.1
233,2016-08-21,芥兰,5.0
234,2016-08-22,芥兰,4.9
235,2016-08-23,芥兰,4.8
236,2016-08-24,芥兰,4.9
237,2016-08-25,芥兰,5.2
238,2016-08-26,芥兰,5.8
239,2016-08-27,芥兰,6.0
240,2016-08-28,芥兰,6.2
241,2016-08-29,芥兰,6.3
242,2016-08-30,芥兰,6.4
243,2016-08-31,芥兰,6.4
244,2016-09-01,芥兰,6.2
245,2016-09-02,芥兰,6.2
246,2016-09-03,芥兰,6.2
247,2016-09-04,芥兰,6.2
248,2016-09-05,芥兰,6.2
249,2016-09-06,芥兰,6.2
250,2016-09-07,芥兰,6.3
251,2016-09-08,芥兰,6.3
252,2016-09-09,芥兰,6.3
253,2016-09-10,芥兰,6.3
254,2016-09-11,芥兰,6.4
255,2016-09-12,芥兰,6.4
256,2016-09-13,芥兰,6.2
257,2016-09-14,芥兰,6.0
258,2016-09-15,芥兰,6.0
