,date,name,price
0,2016-01-01,芫茜,10.0
1,2016-01-02,芫茜,10.0
2,2016-01-03,芫茜,10.0
3,2016-01-04,芫茜,10.0
4,2016-01-05,芫茜,10.5
5,2016-01-06,芫茜,10.0
6,2016-01-07,芫茜,10.0
7,2016-01-08,芫茜,10.0
8,2016-01-09,芫茜,10.0
9,2016-01-10,芫茜,10.0
10,2016-01-11,芫茜,10.0
11,2016-01-12,芫茜,10.0
12,2016-01-13,芫茜,9.6
13,2016-01-14,芫茜,9.6
14,2016-01-15,芫茜,9.6
15,2016-01-16,芫茜,9.6
16,2016-01-17,芫茜,9.2
17,2016-01-18,芫茜,9.2
18,2016-01-19,芫茜,9.2
19,2016-01-20,芫茜,9.2
20,2016-01-21,芫茜,9.2
21,2016-01-22,芫茜,9.2
22,2016-01-23,芫茜,9.3
23,2016-01-24,芫茜,10.0
24,2016-01-25,芫茜,10.0
25,2016-01-26,芫茜,10.3
26,2016-01-27,芫茜,10.6
27,2016-01-28,芫茜,10.6
28,2016-01-29,芫茜,11.0
29,2016-01-30,芫茜,11.0
30,2016-01-31,芫茜,12.0
31,2016-02-01,芫茜,12.0
32,2016-02-02,芫茜,13.5
33,2016-02-03,芫茜,13.5
34,2016-02-04,芫茜,13.7
35,2016-02-05,芫茜,13.9
36,2016-02-06,芫茜,14.0
37,2016-02-07,芫茜,14.2
38,2016-02-08,芫茜,15.0
39,2016-02-09,芫茜,14.8
40,2016-02-10,芫茜,15.0
41,2016-02-11,芫茜,16.0
42,2016-02-12,芫茜,16.0
43,2016-02-13,芫茜,16.2
44,2016-02-14,芫茜,16.2
45,2016-02-15,芫茜,15.6
46,2016-02-16,芫茜,15.0
47,2016-02-17,芫茜,14.7
48,2016-02-18,芫茜,14.0
49,2016-02-19,芫茜,13.0
50,2016-02-20,芫茜,12.0
51,2016-02-21,芫茜,13.0
52,2016-02-22,芫茜,12.0
53,2016-02-23,芫茜,11.5
54,2016-02-24,芫茜,12.0
55,2016-02-25,芫茜,12.5
56,2016-02-26,芫茜,13.0
57,2016-02-27,芫茜,12.5
58,2016-02-28,芫茜,13.0
59,2016-02-29,芫茜,12.5
60,2016-03-01,芫茜,13.0
61,2016-03-02,芫茜,13.0
62,2016-03-03,芫茜,12.7
63,2016-03-04,芫茜,12.5
64,2016-03-05,芫茜,12.2
65,2016-03-06,芫茜,11.0
66,2016-03-07,芫茜,11.0
67,2016-03-08,芫茜,10.8
68,2016-03-09,芫茜,10.5
69,2016-03-10,芫茜,10.2
70,2016-03-11,芫茜,10.0
71,2016-03-12,芫茜,9.8
72,2016-03-13,芫茜,9.5
73,2016-03-14,芫茜,9.2
74,2016-03-15,芫茜,9.0
75,2016-03-16,芫茜,9.0
76,2016-03-17,芫茜,8.8
77,2016-03-18,芫茜,8.6
78,2016-03-19,芫茜,8.0
79,2016-03-20,芫茜,7.8
80,2016-03-21,芫茜,7.8
81,2016-03-22,芫茜,8.0
82,2016-03-23,芫茜,8.1
83,2016-03-24,芫茜,8.2
84,2016-03-25,芫茜,8.3
85,2016-03-26,芫茜,8.3
86,2016-03-27,芫茜,8.3
87,2016-03-28,芫茜,8.3
88,2016-03-29,芫茜,8.3
89,2016-03-30,芫茜,8.3
90,2016-03-31,芫茜,8.0
91,2016-04-01,芫茜,7.8
92,2016-04-02,芫茜,7.8
93,2016-04-03,芫茜,7.8
94,2016-04-04,芫茜,8.0
95,2016-04-05,芫茜,8.0
96,2016-04-06,芫茜,7.5
97,2016-04-07,芫茜,7.0
98,2016-04-08,芫茜,7.0
99,2016-04-09,芫茜,6.5
100,2016-04-10,芫茜,6.0
101,2016-04-11,芫茜,6.0
102,2016-04-12,芫茜,5.8
103,2016-04-13,芫茜,5.6
104,2016-04-14,芫茜,6.0
105,2016-04-15,芫茜,6.0
106,2016-04-16,芫茜,5.5
107,2016-04-17,芫茜,5.5
108,2016-04-18,芫茜,5.3
109,2016-04-19,芫茜,5.3
110,2016-04-20,芫茜,5.3
111,2016-04-21,芫茜,5.3
112,2016-04-22,芫茜,5.5
113,2016-04-23,芫茜,5.5
114,2016-04-24,芫茜,5.6
115,2016-04-25,芫茜,5.5
116,2016-04-26,芫茜,6.0
117,2016-04-27,芫茜,6.0
118,2016-04-28,芫茜,6.0
119,2016-04-29,芫茜,6.0
120,2016-04-30,芫茜,6.0
121,2016-05-01,芫茜,6.0
122,2016-05-02,芫茜,6.0
123,2016-05-03,芫茜,6.2
124,2016-05-04,芫茜,6.0
125,2016-05-05,芫茜,6.0
126,2016-05-06,芫茜,6.0
127,2016-05-07,芫茜,6.2
128,2016-05-08,芫茜,6.0
129,2016-05-09,芫茜,6.0
130,2016-05-10,芫茜,6.0
131,2016-05-11,芫茜,6.0
132,2016-05-12,芫茜,6.0
133,2016-05-13,芫茜,6.0
134,2016-05-14,芫茜,6.0
135,2016-05-15,芫茜,5.8
136,2016-05-16,芫茜,6.0
137,2016-05-17,芫茜,6.0
138,2016-05-18,芫茜,6.0
139,2016-05-19,芫茜,6.2
140,2016-05-20,芫茜,6.3
141,2016-05-21,芫茜,6.3
142,2016-05-22,芫茜,6.3
143,2016-05-23,芫茜,6.3
144,2016-05-24,芫茜,6.2
145,2016-05-25,芫茜,6.2
146,2016-05-26,芫茜,6.0
147,2016-05-27,芫茜,5.8
148,2016-05-28,芫茜,5.5
149,2016-05-29,芫茜,5.6
150,2016-05-30,芫茜,6.0
151,2016-05-31,芫茜,6.0
152,2016-06-01,芫茜,6.0
153,2016-06-02,芫茜,6.3
154,2016-06-03,芫茜,6.3
155,2016-06-04,芫茜,6.3
156,2016-06-05,芫茜,6.3
157,2016-06-06,芫茜,6.2
158,2016-06-07,芫茜,6.1
159,2016-06-08,芫茜,6.1
160,2016-06-09,芫茜,6.3
161,2016-06-10,芫茜,6.3
162,2016-06-11,芫茜,6.3
163,2016-06-12,芫茜,6.3
164,2016-06-13,芫茜,6.4
165,2016-06-14,芫茜,6.3
166,2016-06-15,芫茜,6.3
167,2016-06-16,芫茜,6.4
168,2016-06-17,芫茜,6.5
169,2016-06-18,芫茜,6.5
170,2016-06-19,芫茜,6.5
171,2016-06-20,芫茜,6.6
172,2016-06-21,芫茜,6.7
173,2016-06-22,芫茜,6.8
174,2016-06-23,芫茜,6.9
175,2016-06-24,芫茜,6.9
176,2016-06-25,芫茜,6.9
177,2016-06-26,芫茜,6.9
178,2016-06-27,芫茜,6.9
179,2016-06-28,芫茜,6.9
180,2016-06-29,芫茜,6.9
