,date,name,price
0,2016-01-01,茄瓜,2.8
1,2016-01-02,茄瓜,2.8
2,2016-01-03,茄瓜,2.8
3,2016-01-04,茄瓜,2.6
4,2016-01-05,茄瓜,2.6
5,2016-01-06,茄瓜,2.6
6,2016-01-07,茄瓜,2.3
7,2016-01-08,茄瓜,2.3
8,2016-01-09,茄瓜,2.3
9,2016-01-10,茄瓜,2.3
10,2016-01-11,茄瓜,2.2
11,2016-01-12,茄瓜,2.2
12,2016-01-13,茄瓜,2.2
13,2016-01-14,茄瓜,2.2
14,2016-01-15,茄瓜,2.2
15,2016-01-16,茄瓜,2.2
16,2016-01-17,茄瓜,2.2
17,2016-01-18,茄瓜,2.2
18,2016-01-19,茄瓜,2.2
19,2016-01-20,茄瓜,2.2
20,2016-01-21,茄瓜,2.2
21,2016-01-22,茄瓜,2.2
22,2016-01-23,茄瓜,2.2
23,2016-01-24,茄瓜,2.5
24,2016-01-25,茄瓜,2.5
25,2016-01-26,茄瓜,2.7
26,2016-01-27,茄瓜,2.7
27,2016-01-28,茄瓜,2.8
28,2016-01-29,茄瓜,2.9
29,2016-01-30,茄瓜,3.0
30,2016-01-31,茄瓜,3.1
31,2016-02-01,茄瓜,3.2
32,2016-02-02,茄瓜,3.3
33,2016-02-03,茄瓜,3.6
34,2016-02-04,茄瓜,3.8
35,2016-02-05,茄瓜,4.0
36,2016-02-06,茄瓜,4.2
37,2016-02-07,茄瓜,4.4
38,2016-02-08,茄瓜,6.5
39,2016-02-09,茄瓜,6.4
40,2016-02-10,茄瓜,6.0
41,2016-02-11,茄瓜,5.5
42,2016-02-12,茄瓜,5.5
43,2016-02-13,茄瓜,5.3
44,2016-02-14,茄瓜,5.0
45,2016-02-15,茄瓜,4.8
46,2016-02-16,茄瓜,4.7
47,2016-02-17,茄瓜,5.0
48,2016-02-18,茄瓜,5.2
49,2016-02-19,茄瓜,5.5
50,2016-02-20,茄瓜,5.8
51,2016-02-21,茄瓜,5.5
52,2016-02-22,茄瓜,5.5
53,2016-02-23,茄瓜,5.2
54,2016-02-24,茄瓜,6.0
55,2016-02-25,茄瓜,5.8
56,2016-02-26,茄瓜,6.0
57,2016-02-27,茄瓜,5.8
58,2016-02-28,茄瓜,6.0
59,2016-02-29,茄瓜,5.8
60,2016-03-01,茄瓜,6.0
61,2016-03-02,茄瓜,5.8
62,2016-03-03,茄瓜,6.0
63,2016-03-04,茄瓜,6.2
64,2016-03-05,茄瓜,6.0
65,2016-03-06,茄瓜,6.0
66,2016-03-07,茄瓜,6.0
67,2016-03-08,茄瓜,5.7
68,2016-03-09,茄瓜,5.5
69,2016-03-10,茄瓜,5.3
70,2016-03-11,茄瓜,5.3
71,2016-03-12,茄瓜,5.4
72,2016-03-13,茄瓜,5.4
73,2016-03-14,茄瓜,5.4
74,2016-03-15,茄瓜,5.6
75,2016-03-16,茄瓜,5.9
76,2016-03-17,茄瓜,6.0
77,2016-03-18,茄瓜,5.8
78,2016-03-19,茄瓜,5.5
79,2016-03-20,茄瓜,5.7
80,2016-03-21,茄瓜,5.8
81,2016-03-22,茄瓜,6.0
82,2016-03-23,茄瓜,6.1
83,2016-03-24,茄瓜,6.0
84,2016-03-25,茄瓜,6.0
85,2016-03-26,茄瓜,5.8
86,2016-03-27,茄瓜,5.5
87,2016-03-28,茄瓜,5.6
88,2016-03-29,茄瓜,5.5
89,2016-03-30,茄瓜,5.4
90,2016-03-31,茄瓜,5.6
91,2016-04-01,茄瓜,5.6
92,2016-04-02,茄瓜,5.6
93,2016-04-03,茄瓜,5.6
94,2016-04-04,茄瓜,5.5
95,2016-04-05,茄瓜,5.5
96,2016-04-06,茄瓜,5.3
97,2016-04-07,茄瓜,5.0
98,2016-04-08,茄瓜,5.3
99,2016-04-09,茄瓜,5.0
100,2016-04-10,茄瓜,4.5
101,2016-04-11,茄瓜,4.3
102,2016-04-12,茄瓜,4.0
103,2016-04-13,茄瓜,3.8
104,2016-04-14,茄瓜,3.6
105,2016-04-15,茄瓜,3.6
106,2016-04-16,茄瓜,3.5
107,2016-04-17,茄瓜,3.5
108,2016-04-18,茄瓜,3.6
109,2016-04-19,茄瓜,3.3
110,2016-04-20,茄瓜,3.3
111,2016-04-21,茄瓜,3.0
112,2016-04-22,茄瓜,3.0
113,2016-04-23,茄瓜,3.1
114,2016-04-24,茄瓜,3.1
115,2016-04-25,茄瓜,3.1
116,2016-04-26,茄瓜,3.1
117,2016-04-27,茄瓜,3.1
118,2016-04-28,茄瓜,3.2
119,2016-04-29,茄瓜,3.2
120,2016-04-30,茄瓜,3.5
121,2016-05-01,茄瓜,3.6
122,2016-05-02,茄瓜,3.6
123,2016-05-03,茄瓜,3.5
124,2016-05-04,茄瓜,3.5
125,2016-05-05,茄瓜,3.6
126,2016-05-06,茄瓜,3.6
127,2016-05-07,茄瓜,3.5
128,2016-05-08,茄瓜,3.5
129,2016-05-09,茄瓜,3.6
130,2016-05-10,茄瓜,3.5
131,2016-05-11,茄瓜,3.5
132,2016-05-12,茄瓜,3.5
133,2016-05-13,茄瓜,3.5
134,2016-05-14,茄瓜,3.5
135,2016-05-15,茄瓜,3.2
136,2016-05-16,茄瓜,3.5
137,2016-05-17,茄瓜,3.2
138,2016-05-18,茄瓜,2.8
139,2016-05-19,茄瓜,2.6
140,2016-05-20,茄瓜,2.4
141,2016-05-21,茄瓜,2.4
142,2016-05-22,茄瓜,2.4
143,2016-05-23,茄瓜,2.4
144,2016-05-24,茄瓜,2.3
145,2016-05-25,茄瓜,2.3
146,2016-05-26,茄瓜,2.2
147,2016-05-27,茄瓜,2.2
148,2016-05-28,茄瓜,2.2
149,2016-05-29,茄瓜,2.2
150,2016-05-30,茄瓜,2.2
151,2016-05-31,茄瓜,2.2
152,2016-06-01,茄瓜,2.2
153,2016-06-02,茄瓜,1.9
154,2016-06-03,茄瓜,1.7
155,2016-06-04,茄瓜,1.8
156,2016-06-05,茄瓜,1.8
157,2016-06-06,茄瓜,1.8
158,2016-06-07,茄瓜,2.0
159,2016-06-08,茄瓜,1.9
160,2016-06-09,茄瓜,1.6
161,2016-06-10,茄瓜,1.5
162,2016-06-11,茄瓜,1.4
163,2016-06-12,茄瓜,1.5
164,2016-06-13,茄瓜,1.6
165,2016-06-14,茄瓜,1.7
166,2016-06-15,茄瓜,1.6
167,2016-06-16,茄瓜,1.7
168,2016-06-17,茄瓜,1.5
169,2016-06-18,茄瓜,1.6
170,2016-06-19,茄瓜,1.5
171,2016-06-20,茄瓜,1.5
172,2016-06-21,茄瓜,1.6
173,2016-06-22,茄瓜,1.6
174,2016-06-23,茄瓜,1.6
175,2016-06-24,茄瓜,1.7
176,2016-06-25,茄瓜,1.8
177,2016-06-26,茄瓜,1.8
178,2016-06-27,茄瓜,1.8
179,2016-06-28,茄瓜,1.8
180,2016-06-29,茄瓜,1.8
181,2016-06-30,茄瓜,1.9
182,2016-07-01,茄瓜,1.9
183,2016-07-02,茄瓜,1.9
184,2016-07-03,茄瓜,2.0
185,2016-07-04,茄瓜,2.0
186,2016-07-05,茄瓜,2.0
187,2016-07-06,茄瓜,2.0
188,2016-07-07,茄瓜,2.0
189,2016-07-08,茄瓜,2.0
190,2016-07-09,茄瓜,2.0
191,2016-07-10,茄瓜,2.0
192,2016-07-11,茄瓜,2.0
193,2016-07-12,茄瓜,2.0
194,2016-07-13,茄瓜,2.0
195,2016-07-14,茄瓜,2.0
196,2016-07-15,茄瓜,2.0
197,2016-07-16,茄瓜,2.0
198,2016-07-17,茄瓜,2.0
199,2016-07-18,茄瓜,1.9
200,2016-07-19,茄瓜,1.8
201,2016-07-20,茄瓜,1.8
202,2016-07-21,茄瓜,1.7
203,2016-07-22,茄瓜,1.7
204,2016-07-23,茄瓜,1.6
205,2016-07-24,茄瓜,1.6
206,2016-07-25,茄瓜,1.6
207,2016-07-26,茄瓜,1.6
208,2016-07-27,茄瓜,1.6
209,2016-07-28,茄瓜,1.6
210,2016-07-29,茄瓜,1.6
211,2016-07-30,茄瓜,1.5
212,2016-07-31,茄瓜,1.5
213,2016-08-01,茄瓜,1.5
214,2016-08-02,茄瓜,1.6
215,2016-08-03,茄瓜,1.5
216,2016-08-04,茄瓜,1.6
217,2016-08-05,茄瓜,1.5
218,2016-08-06,茄瓜,1.7
219,2016-08-07,茄瓜,1.8
220,2016-08-08,茄瓜,1.8
221,2016-08-09,茄瓜,1.9
222,2016-08-10,茄瓜,1.7
223,2016-08-11,茄瓜,1.4
224,2016-08-12,茄瓜,1.3
225,2016-08-13,茄瓜,1.3
226,2016-08-14,茄瓜,1.2
227,2016-08-15,茄瓜,1.3
228,2016-08-16,茄瓜,1.4
229,2016-08-17,茄瓜,1.3
230,2016-08-18,茄瓜,1.4
231,2016-08-19,茄瓜,1.4
232,2016-08-20,茄瓜,1.4
233,2016-08-21,茄瓜,1.4
234,2016-08-22,茄瓜,1.5
235,2016-08-23,茄瓜,1.5
236,2016-08-24,茄瓜,1.4
237,2016-08-25,茄瓜,1.5
238,2016-08-26,茄瓜,1.8
239,2016-08-27,茄瓜,1.9
240,2016-08-28,茄瓜,1.8
241,2016-08-29,茄瓜,1.9
242,2016-08-30,茄瓜,2.0
243,2016-08-31,茄瓜,2.1
244,2016-09-01,茄瓜,2.4
245,2016-09-02,茄瓜,2.6
246,2016-09-03,茄瓜,2.6
247,2016-09-04,茄瓜,2.6
248,2016-09-05,茄瓜,2.6
249,2016-09-06,茄瓜,2.8
250,2016-09-07,茄瓜,2.8
251,2016-09-08,茄瓜,2.8
252,2016-09-09,茄瓜,2.8
253,2016-09-10,茄瓜,2.8
254,2016-09-11,茄瓜,2.8
255,2016-09-12,茄瓜,2.8
256,2016-09-13,茄瓜,2.8
257,2016-09-14,茄瓜,2.8
258,2016-09-15,茄瓜,2.8
259,2016-09-16,茄瓜,2.8
260,2016-09-17,茄瓜,2.8
261,2016-09-18,茄瓜,2.8
262,2016-09-19,茄瓜,2.8
263,2016-09-20,茄瓜,2.8
264,2016-09-21,茄瓜,2.8
265,2016-09-22,茄瓜,2.6
266,2016-09-23,茄瓜,2.6
267,2016-09-24,茄瓜,2.6
268,2016-09-25,茄瓜,2.6
269,2016-09-26,茄瓜,2.6
270,2016-09-27,茄瓜,2.6
271,2016-09-28,茄瓜,2.6
272,2016-09-29,茄瓜,2.5
273,2016-09-30,茄瓜,2.5
274,2016-10-01,茄瓜,2.5
275,2016-10-02,茄瓜,2.4
276,2016-10-03,茄瓜,2.3
277,2016-10-04,茄瓜,2.3
278,2016-10-05,茄瓜,2.3
279,2016-10-06,茄瓜,2.2
280,2016-10-07,茄瓜,2.2
281,2016-10-08,茄瓜,2.2
282,2016-10-09,茄瓜,2.2
283,2016-10-10,茄瓜,2.2
284,2016-10-11,茄瓜,2.2
285,2016-10-12,茄瓜,2.2
286,2016-10-13,茄瓜,2.0
287,2016-10-14,茄瓜,2.0
288,2016-10-15,茄瓜,2.0
289,2016-10-16,茄瓜,2.0
290,2016-10-17,茄瓜,2.0
291,2016-10-18,茄瓜,2.0
292,2016-10-19,茄瓜,2.0
293,2016-10-20,茄瓜,2.0
294,2016-10-21,茄瓜,2.0
295,2016-10-22,茄瓜,2.0
296,2016-10-23,茄瓜,2.0
297,2016-10-24,茄瓜,2.0
298,2016-10-25,茄瓜,2.0
299,2016-10-26,茄瓜,2.0
300,2016-10-27,茄瓜,2.0
301,2016-10-28,茄瓜,2.2
302,2016-10-29,茄瓜,2.0
303,2016-10-30,茄瓜,1.9
304,2016-10-31,茄瓜,1.9
305,2016-11-01,茄瓜,1.9
306,2016-11-02,茄瓜,2.0
307,2016-11-03,茄瓜,1.9
308,2016-11-04,茄瓜,2.0
309,2016-11-05,茄瓜,2.2
310,2016-11-06,茄瓜,2.3
311,2016-11-07,茄瓜,2.3
312,2016-11-08,茄瓜,2.3
313,2016-11-09,茄瓜,2.5
314,2016-11-10,茄瓜,2.5
315,2016-11-11,茄瓜,2.5
316,2016-11-12,茄瓜,2.5
317,2016-11-13,茄瓜,2.5
318,2016-11-14,茄瓜,2.5
319,2016-11-15,茄瓜,2.5
320,2016-11-16,茄瓜,2.3
321,2016-11-17,茄瓜,2.1
322,2016-11-18,茄瓜,2.1
323,2016-11-19,茄瓜,2.1
324,2016-11-20,茄瓜,2.2
325,2016-11-21,茄瓜,2.1
326,2016-11-22,茄瓜,2.1
327,2016-11-23,茄瓜,2.1
328,2016-11-24,茄瓜,2.4
329,2016-11-25,茄瓜,2.7
330,2016-11-26,茄瓜,2.4
331,2016-11-27,茄瓜,2.4
332,2016-11-28,茄瓜,2.4
333,2016-11-29,茄瓜,2.3
334,2016-11-30,茄瓜,2.5
335,2016-12-01,茄瓜,2.9
336,2016-12-02,茄瓜,2.9
337,2016-12-03,茄瓜,2.9
338,2016-12-04,茄瓜,3.0
339,2016-12-05,茄瓜,3.1
340,2016-12-06,茄瓜,3.3
341,2016-12-07,茄瓜,3.4
342,2016-12-08,茄瓜,3.4
343,2016-12-09,茄瓜,3.3
344,2016-12-10,茄瓜,3.3
345,2016-12-11,茄瓜,3.3
346,2016-12-12,茄瓜,3.2
347,2016-12-13,茄瓜,3.3
348,2016-12-14,茄瓜,3.2
349,2016-12-15,茄瓜,3.0
350,2016-12-16,茄瓜,3.2
351,2016-12-17,茄瓜,3.2
352,2016-12-18,茄瓜,3.2
353,2016-12-19,茄瓜,3.0
354,2016-12-20,茄瓜,3.0
355,2016-12-21,茄瓜,3.0
356,2016-12-22,茄瓜,3.2
357,2016-12-23,茄瓜,3.2
358,2016-12-24,茄瓜,3.2
359,2016-12-25,茄瓜,3.2
360,2016-12-26,茄瓜,3.2
361,2016-12-27,茄瓜,3.0
362,2016-12-28,茄瓜,3.0
