,date,name,price
0,2016-01-02,茶树菇,13.6
1,2016-01-03,茶树菇,13.6
2,2016-01-04,茶树菇,13.6
3,2016-01-05,茶树菇,13.6
4,2016-01-06,茶树菇,13.6
5,2016-01-07,茶树菇,13.6
6,2016-01-08,茶树菇,13.6
7,2016-01-09,茶树菇,13.6
8,2016-01-10,茶树菇,13.6
9,2016-01-11,茶树菇,13.6
10,2016-01-12,茶树菇,13.2
11,2016-01-13,茶树菇,13.0
12,2016-01-14,茶树菇,13.0
13,2016-01-15,茶树菇,13.0
14,2016-01-16,茶树菇,13.0
15,2016-01-17,茶树菇,13.0
16,2016-01-18,茶树菇,13.0
17,2016-01-19,茶树菇,13.0
18,2016-01-20,茶树菇,13.0
19,2016-01-21,茶树菇,13.0
20,2016-01-22,茶树菇,13.0
21,2016-01-23,茶树菇,13.0
22,2016-01-24,茶树菇,13.0
23,2016-01-25,茶树菇,13.0
24,2016-01-26,茶树菇,13.0
25,2016-01-27,茶树菇,13.0
26,2016-01-28,茶树菇,13.0
27,2016-01-29,茶树菇,13.0
28,2016-01-30,茶树菇,13.0
29,2016-01-31,茶树菇,13.0
30,2016-02-01,茶树菇,13.0
31,2016-02-02,茶树菇,13.0
32,2016-02-03,茶树菇,13.0
33,2016-02-04,茶树菇,13.0
34,2016-02-05,茶树菇,13.0
35,2016-02-06,茶树菇,13.0
36,2016-02-07,茶树菇,13.0
37,2016-02-08,茶树菇,13.0
38,2016-02-09,茶树菇,12.9
39,2016-02-10,茶树菇,12.9
40,2016-02-11,茶树菇,12.0
41,2016-02-12,茶树菇,12.0
42,2016-02-13,茶树菇,12.0
43,2016-02-14,茶树菇,12.0
44,2016-02-15,茶树菇,12.0
45,2016-02-16,茶树菇,12.0
46,2016-02-17,茶树菇,12.0
47,2016-02-18,茶树菇,14.0
48,2016-02-19,茶树菇,14.0
49,2016-02-20,茶树菇,14.0
50,2016-02-21,茶树菇,14.0
51,2016-02-22,茶树菇,14.0
52,2016-02-23,茶树菇,14.0
53,2016-02-24,茶树菇,14.0
54,2016-02-25,茶树菇,14.0
55,2016-02-26,茶树菇,14.0
56,2016-02-27,茶树菇,14.0
57,2016-02-28,茶树菇,14.0
58,2016-02-29,茶树菇,14.0
59,2016-03-01,茶树菇,14.0
60,2016-03-02,茶树菇,14.0
61,2016-03-03,茶树菇,13.7
62,2016-03-04,茶树菇,13.7
63,2016-03-05,茶树菇,13.7
64,2016-03-06,茶树菇,13.0
65,2016-03-07,茶树菇,13.0
66,2016-03-08,茶树菇,12.7
67,2016-03-09,茶树菇,12.7
68,2016-03-10,茶树菇,12.5
69,2016-03-11,茶树菇,12.5
70,2016-03-12,茶树菇,12.5
71,2016-03-13,茶树菇,12.0
72,2016-03-14,茶树菇,12.0
73,2016-03-15,茶树菇,12.0
74,2016-03-16,茶树菇,12.0
75,2016-03-17,茶树菇,12.0
76,2016-03-18,茶树菇,12.0
77,2016-03-19,茶树菇,12.0
78,2016-03-20,茶树菇,12.0
79,2016-03-21,茶树菇,12.0
80,2016-03-22,茶树菇,12.0
81,2016-03-23,茶树菇,12.0
82,2016-03-24,茶树菇,12.0
83,2016-03-25,茶树菇,12.0
84,2016-03-26,茶树菇,12.0
85,2016-03-27,茶树菇,12.0
86,2016-03-28,茶树菇,12.0
87,2016-03-29,茶树菇,12.0
88,2016-03-30,茶树菇,12.0
89,2016-03-31,茶树菇,12.0
90,2016-04-01,茶树菇,12.0
91,2016-04-02,茶树菇,12.0
92,2016-04-03,茶树菇,12.0
93,2016-04-04,茶树菇,11.5
94,2016-04-05,茶树菇,11.5
95,2016-04-06,茶树菇,11.5
96,2016-04-07,茶树菇,11.5
97,2016-04-08,茶树菇,11.0
98,2016-04-09,茶树菇,11.2
99,2016-04-10,茶树菇,11.2
100,2016-04-11,茶树菇,11.0
101,2016-04-12,茶树菇,11.0
102,2016-04-13,茶树菇,11.5
103,2016-04-14,茶树菇,11.5
104,2016-04-15,茶树菇,11.5
105,2016-04-16,茶树菇,11.5
106,2016-04-17,茶树菇,11.5
107,2016-04-18,茶树菇,11.5
108,2016-04-19,茶树菇,11.5
109,2016-04-20,茶树菇,11.5
110,2016-04-21,茶树菇,9.8
111,2016-04-22,茶树菇,9.8
112,2016-04-23,茶树菇,9.5
113,2016-04-24,茶树菇,9.5
114,2016-04-25,茶树菇,9.5
115,2016-04-26,茶树菇,9.5
116,2016-04-27,茶树菇,9.5
117,2016-04-28,茶树菇,9.5
118,2016-04-29,茶树菇,9.5
119,2016-04-30,茶树菇,9.5
120,2016-05-01,茶树菇,9.5
121,2016-05-02,茶树菇,9.5
122,2016-05-03,茶树菇,9.0
123,2016-05-04,茶树菇,9.5
124,2016-05-05,茶树菇,9.5
125,2016-05-06,茶树菇,9.5
126,2016-05-07,茶树菇,9.0
127,2016-05-08,茶树菇,9.0
128,2016-05-09,茶树菇,9.5
129,2016-05-10,茶树菇,9.5
130,2016-05-11,茶树菇,9.0
131,2016-05-12,茶树菇,9.5
132,2016-05-13,茶树菇,9.0
133,2016-05-14,茶树菇,9.5
134,2016-05-15,茶树菇,9.5
135,2016-05-16,茶树菇,9.0
136,2016-05-17,茶树菇,9.0
137,2016-05-18,茶树菇,9.0
138,2016-05-19,茶树菇,9.0
139,2016-05-20,茶树菇,9.0
140,2016-05-21,茶树菇,9.0
141,2016-05-22,茶树菇,9.0
142,2016-05-23,茶树菇,9.0
143,2016-05-24,茶树菇,9.0
144,2016-05-25,茶树菇,9.0
145,2016-05-26,茶树菇,9.0
146,2016-05-27,茶树菇,9.0
147,2016-05-28,茶树菇,9.0
148,2016-05-29,茶树菇,9.0
149,2016-05-30,茶树菇,9.0
150,2016-05-31,茶树菇,9.0
151,2016-06-01,茶树菇,9.0
152,2016-06-02,茶树菇,9.0
153,2016-06-03,茶树菇,9.0
154,2016-06-04,茶树菇,9.0
155,2016-06-05,茶树菇,9.0
156,2016-06-06,茶树菇,9.0
157,2016-06-07,茶树菇,10.0
158,2016-06-08,茶树菇,10.0
159,2016-06-09,茶树菇,10.0
160,2016-06-10,茶树菇,10.0
161,2016-06-11,茶树菇,10.0
162,2016-06-12,茶树菇,11.0
163,2016-06-13,茶树菇,11.0
164,2016-06-14,茶树菇,11.0
165,2016-06-15,茶树菇,11.0
166,2016-06-16,茶树菇,11.0
167,2016-06-17,茶树菇,10.5
168,2016-06-18,茶树菇,10.5
169,2016-06-19,茶树菇,10.5
170,2016-06-20,茶树菇,10.5
171,2016-06-21,茶树菇,10.5
172,2016-06-22,茶树菇,11.0
173,2016-06-23,茶树菇,11.0
174,2016-06-24,茶树菇,11.0
175,2016-06-25,茶树菇,11.0
176,2016-06-26,茶树菇,11.0
177,2016-06-27,茶树菇,11.0
178,2016-06-28,茶树菇,11.0
179,2016-06-29,茶树菇,11.0
180,2016-06-30,茶树菇,10.5
181,2016-07-01,茶树菇,10.5
182,2016-07-02,茶树菇,10.5
183,2016-07-03,茶树菇,10.5
184,2016-07-04,茶树菇,10.5
185,2016-07-05,茶树菇,10.5
186,2016-07-06,茶树菇,10.5
187,2016-07-07,茶树菇,10.5
188,2016-07-08,茶树菇,10.5
189,2016-07-09,茶树菇,10.5
190,2016-07-10,茶树菇,10.5
191,2016-07-11,茶树菇,10.5
192,2016-07-12,茶树菇,10.5
193,2016-07-13,茶树菇,10.5
194,2016-07-14,茶树菇,10.5
195,2016-07-15,茶树菇,10.5
196,2016-07-16,茶树菇,10.5
197,2016-07-17,茶树菇,10.5
198,2016-07-18,茶树菇,10.5
199,2016-07-19,茶树菇,10.5
200,2016-07-20,茶树菇,10.5
201,2016-07-21,茶树菇,10.5
202,2016-07-22,茶树菇,10.5
203,2016-07-23,茶树菇,10.5
204,2016-07-24,茶树菇,10.5
205,2016-07-25,茶树菇,10.5
206,2016-07-26,茶树菇,10.5
207,2016-07-27,茶树菇,10.5
208,2016-07-28,茶树菇,10.5
209,2016-07-29,茶树菇,10.5
210,2016-07-30,茶树菇,10.5
211,2016-07-31,茶树菇,10.5
212,2016-08-01,茶树菇,10.5
213,2016-08-02,茶树菇,10.6
214,2016-08-03,茶树菇,10.8
215,2016-08-04,茶树菇,10.9
216,2016-08-05,茶树菇,11.0
217,2016-08-06,茶树菇,11.2
218,2016-08-07,茶树菇,11.2
219,2016-08-08,茶树菇,11.0
220,2016-08-09,茶树菇,10.9
221,2016-08-10,茶树菇,11.0
222,2016-08-11,茶树菇,11.2
223,2016-08-12,茶树菇,11.0
224,2016-08-13,茶树菇,11.0
225,2016-08-14,茶树菇,11.0
226,2016-08-15,茶树菇,10.9
227,2016-08-16,茶树菇,11.0
228,2016-08-17,茶树菇,11.0
229,2016-08-18,茶树菇,10.8
230,2016-08-19,茶树菇,10.8
231,2016-08-20,茶树菇,9.5
232,2016-08-21,茶树菇,9.5
233,2016-08-22,茶树菇,9.4
234,2016-08-23,茶树菇,9.4
235,2016-08-24,茶树菇,10.0
236,2016-08-25,茶树菇,9.6
237,2016-08-26,茶树菇,9.6
238,2016-08-27,茶树菇,9.6
239,2016-08-28,茶树菇,9.6
240,2016-08-29,茶树菇,9.5
241,2016-08-30,茶树菇,9.5
242,2016-08-31,茶树菇,10.0
243,2016-09-01,茶树菇,10.0
244,2016-09-02,茶树菇,10.0
245,2016-09-03,茶树菇,10.0
246,2016-09-04,茶树菇,10.0
247,2016-09-05,茶树菇,10.0
248,2016-09-06,茶树菇,10.0
249,2016-09-07,茶树菇,10.0
250,2016-09-08,茶树菇,10.0
251,2016-09-09,茶树菇,10.0
252,2016-09-10,茶树菇,10.0
253,2016-09-11,茶树菇,10.0
254,2016-09-12,茶树菇,10.0
255,2016-09-13,茶树菇,10.0
256,2016-09-14,茶树菇,10.0
257,2016-09-15,茶树菇,10.0
258,2016-09-16,茶树菇,10.0
259,2016-09-17,茶树菇,10.0
260,2016-09-18,茶树菇,10.0
261,2016-09-19,茶树菇,10.0
262,2016-09-20,茶树菇,10.0
263,2016-09-21,茶树菇,10.0
264,2016-09-22,茶树菇,10.0
265,2016-09-23,茶树菇,10.0
266,2016-09-24,茶树菇,10.0
267,2016-09-25,茶树菇,10.0
268,2016-09-26,茶树菇,10.0
269,2016-09-27,茶树菇,10.0
270,2016-09-28,茶树菇,10.0
271,2016-09-29,茶树菇,10.0
272,2016-09-30,茶树菇,10.0
273,2016-10-01,茶树菇,10.0
274,2016-10-02,茶树菇,10.1
275,2016-10-03,茶树菇,10.0
276,2016-10-04,茶树菇,10.0
277,2016-10-05,茶树菇,10.0
278,2016-10-06,茶树菇,10.0
279,2016-10-07,茶树菇,10.0
280,2016-10-08,茶树菇,10.0
