,date,name,price
0,2016-01-01,荷兰豆,11.4
1,2016-01-02,荷兰豆,11.4
2,2016-01-03,荷兰豆,11.4
3,2016-01-04,荷兰豆,11.0
4,2016-01-05,荷兰豆,11.0
5,2016-01-06,荷兰豆,11.0
6,2016-01-07,荷兰豆,10.0
7,2016-01-08,荷兰豆,10.0
8,2016-01-09,荷兰豆,10.0
9,2016-01-10,荷兰豆,9.7
10,2016-01-11,荷兰豆,9.7
11,2016-01-12,荷兰豆,9.5
12,2016-01-13,荷兰豆,9.0
13,2016-01-14,荷兰豆,9.0
14,2016-01-15,荷兰豆,9.2
15,2016-01-16,荷兰豆,9.2
16,2016-01-17,荷兰豆,9.2
17,2016-01-18,荷兰豆,9.2
18,2016-01-19,荷兰豆,9.2
19,2016-01-20,荷兰豆,9.2
20,2016-01-21,荷兰豆,9.2
21,2016-01-22,荷兰豆,9.4
22,2016-01-23,荷兰豆,9.6
23,2016-01-24,荷兰豆,10.5
24,2016-01-25,荷兰豆,10.5
25,2016-01-26,荷兰豆,10.8
26,2016-01-27,荷兰豆,11.0
27,2016-01-28,荷兰豆,11.0
28,2016-01-29,荷兰豆,11.0
29,2016-01-30,荷兰豆,11.0
30,2016-01-31,荷兰豆,12.0
31,2016-02-01,荷兰豆,12.0
32,2016-02-02,荷兰豆,12.4
33,2016-02-03,荷兰豆,12.6
34,2016-02-04,荷兰豆,12.9
35,2016-02-05,荷兰豆,13.3
36,2016-02-06,荷兰豆,13.6
37,2016-02-07,荷兰豆,14.0
38,2016-02-08,荷兰豆,14.0
39,2016-02-09,荷兰豆,13.9
40,2016-02-10,荷兰豆,14.0
41,2016-02-11,荷兰豆,15.0
42,2016-02-12,荷兰豆,15.0
43,2016-02-13,荷兰豆,15.3
44,2016-02-14,荷兰豆,15.3
45,2016-02-15,荷兰豆,14.7
46,2016-02-16,荷兰豆,14.0
47,2016-02-17,荷兰豆,13.3
48,2016-02-18,荷兰豆,13.6
49,2016-02-19,荷兰豆,14.0
50,2016-02-20,荷兰豆,13.5
51,2016-02-21,荷兰豆,14.0
52,2016-02-22,荷兰豆,13.8
53,2016-02-23,荷兰豆,14.0
54,2016-02-24,荷兰豆,14.5
55,2016-02-25,荷兰豆,15.0
56,2016-02-26,荷兰豆,14.0
57,2016-02-27,荷兰豆,15.0
58,2016-02-28,荷兰豆,14.0
59,2016-02-29,荷兰豆,13.5
60,2016-03-01,荷兰豆,14.0
61,2016-03-02,荷兰豆,14.0
62,2016-03-03,荷兰豆,13.7
63,2016-03-04,荷兰豆,13.7
64,2016-03-05,荷兰豆,13.7
65,2016-03-06,荷兰豆,13.0
66,2016-03-07,荷兰豆,13.2
67,2016-03-08,荷兰豆,12.9
68,2016-03-09,荷兰豆,12.8
69,2016-03-10,荷兰豆,12.5
70,2016-03-11,荷兰豆,12.2
71,2016-03-12,荷兰豆,12.0
72,2016-03-13,荷兰豆,12.5
73,2016-03-14,荷兰豆,12.3
74,2016-03-15,荷兰豆,12.0
75,2016-03-16,荷兰豆,11.7
76,2016-03-17,荷兰豆,11.0
77,2016-03-18,荷兰豆,11.0
78,2016-03-19,荷兰豆,10.5
79,2016-03-20,荷兰豆,10.5
80,2016-03-21,荷兰豆,10.3
81,2016-03-22,荷兰豆,10.5
82,2016-03-23,荷兰豆,10.5
83,2016-03-24,荷兰豆,10.5
84,2016-03-25,荷兰豆,10.5
