,date,name,price
0,2016-01-01,莲藕,3.0
1,2016-01-02,莲藕,3.1
2,2016-01-03,莲藕,3.1
3,2016-01-04,莲藕,3.1
4,2016-01-05,莲藕,3.0
5,2016-01-06,莲藕,3.2
6,2016-01-07,莲藕,3.2
7,2016-01-08,莲藕,3.2
8,2016-01-09,莲藕,3.2
9,2016-01-10,莲藕,3.2
10,2016-01-11,莲藕,3.2
11,2016-01-12,莲藕,3.2
12,2016-01-13,莲藕,3.2
13,2016-01-14,莲藕,3.2
14,2016-01-15,莲藕,3.2
15,2016-01-16,莲藕,3.2
16,2016-01-17,莲藕,3.2
17,2016-01-18,莲藕,3.2
18,2016-01-19,莲藕,3.0
19,2016-01-20,莲藕,3.0
20,2016-01-21,莲藕,3.0
21,2016-01-22,莲藕,3.0
22,2016-01-23,莲藕,3.0
23,2016-01-24,莲藕,3.0
24,2016-01-25,莲藕,3.0
25,2016-01-26,莲藕,3.2
26,2016-01-27,莲藕,3.2
27,2016-01-28,莲藕,3.2
28,2016-01-29,莲藕,3.2
29,2016-01-30,莲藕,3.2
30,2016-01-31,莲藕,3.2
31,2016-02-01,莲藕,3.2
32,2016-02-02,莲藕,3.5
33,2016-02-03,莲藕,3.6
34,2016-02-04,莲藕,3.8
35,2016-02-05,莲藕,4.0
36,2016-02-06,莲藕,4.3
37,2016-02-07,莲藕,4.5
38,2016-02-08,莲藕,4.8
39,2016-02-09,莲藕,4.7
40,2016-02-10,莲藕,4.7
41,2016-02-11,莲藕,4.5
42,2016-02-12,莲藕,4.5
43,2016-02-13,莲藕,4.5
44,2016-02-14,莲藕,4.4
45,2016-02-15,莲藕,4.6
46,2016-02-16,莲藕,4.7
47,2016-02-17,莲藕,4.8
48,2016-02-18,莲藕,5.1
49,2016-02-19,莲藕,5.0
50,2016-02-20,莲藕,4.9
51,2016-02-21,莲藕,5.0
52,2016-02-22,莲藕,5.1
53,2016-02-23,莲藕,4.5
54,2016-02-24,莲藕,4.3
55,2016-02-25,莲藕,4.3
56,2016-02-26,莲藕,4.0
57,2016-02-27,莲藕,4.3
58,2016-02-28,莲藕,4.0
59,2016-02-29,莲藕,4.0
60,2016-03-01,莲藕,4.0
61,2016-03-02,莲藕,3.7
62,2016-03-03,莲藕,3.5
63,2016-03-04,莲藕,3.5
64,2016-03-05,莲藕,3.3
65,2016-03-06,莲藕,3.5
66,2016-03-07,莲藕,3.3
67,2016-03-08,莲藕,3.5
68,2016-03-09,莲藕,3.5
