,date,name,price
0,2016-01-01,莴笋,1.9
1,2016-01-02,莴笋,1.9
2,2016-01-03,莴笋,1.9
3,2016-01-04,莴笋,1.9
4,2016-01-05,莴笋,1.9
5,2016-01-06,莴笋,1.9
6,2016-01-07,莴笋,1.6
7,2016-01-08,莴笋,1.5
8,2016-01-09,莴笋,1.5
9,2016-01-10,莴笋,1.4
10,2016-01-11,莴笋,1.4
11,2016-01-12,莴笋,1.4
12,2016-01-13,莴笋,1.3
13,2016-01-14,莴笋,1.3
14,2016-01-15,莴笋,1.3
15,2016-01-16,莴笋,1.3
16,2016-01-17,莴笋,1.3
17,2016-01-18,莴笋,1.3
18,2016-01-19,莴笋,1.3
19,2016-01-20,莴笋,1.3
20,2016-01-21,莴笋,1.3
21,2016-01-22,莴笋,1.3
22,2016-01-23,莴笋,1.3
23,2016-01-24,莴笋,1.7
24,2016-01-25,莴笋,1.7
25,2016-01-26,莴笋,1.8
26,2016-01-27,莴笋,1.7
27,2016-01-28,莴笋,1.7
28,2016-01-29,莴笋,1.7
29,2016-01-30,莴笋,1.7
30,2016-01-31,莴笋,1.7
31,2016-02-01,莴笋,1.8
32,2016-02-02,莴笋,1.8
33,2016-02-03,莴笋,2.1
34,2016-02-04,莴笋,2.1
35,2016-02-05,莴笋,2.1
36,2016-02-06,莴笋,2.1
37,2016-02-07,莴笋,2.1
38,2016-02-08,莴笋,2.6
39,2016-02-09,莴笋,2.5
40,2016-02-10,莴笋,2.5
41,2016-02-11,莴笋,2.5
42,2016-02-12,莴笋,2.5
43,2016-02-13,莴笋,2.5
44,2016-02-14,莴笋,2.5
45,2016-02-15,莴笋,2.5
46,2016-02-16,莴笋,2.6
47,2016-02-17,莴笋,3.0
48,2016-02-18,莴笋,3.2
49,2016-02-19,莴笋,3.0
50,2016-02-20,莴笋,3.1
51,2016-02-21,莴笋,3.0
52,2016-02-22,莴笋,3.2
53,2016-02-23,莴笋,3.1
54,2016-02-24,莴笋,3.0
55,2016-02-25,莴笋,3.2
56,2016-02-26,莴笋,3.0
57,2016-02-27,莴笋,3.2
58,2016-02-28,莴笋,3.0
59,2016-02-29,莴笋,3.3
60,2016-03-01,莴笋,3.0
61,2016-03-02,莴笋,3.2
62,2016-03-03,莴笋,3.0
63,2016-03-04,莴笋,3.0
64,2016-03-05,莴笋,3.0
65,2016-03-06,莴笋,3.0
66,2016-03-07,莴笋,3.0
67,2016-03-08,莴笋,3.3
68,2016-03-09,莴笋,3.5
69,2016-03-10,莴笋,3.8
70,2016-03-11,莴笋,3.8
71,2016-03-12,莴笋,3.8
72,2016-03-13,莴笋,3.8
73,2016-03-14,莴笋,3.8
74,2016-03-15,莴笋,3.6
75,2016-03-16,莴笋,3.6
76,2016-03-17,莴笋,3.8
77,2016-03-18,莴笋,4.0
78,2016-03-19,莴笋,3.9
79,2016-03-20,莴笋,4.0
80,2016-03-21,莴笋,4.0
81,2016-03-22,莴笋,4.0
82,2016-03-23,莴笋,3.8
83,2016-03-24,莴笋,3.6
84,2016-03-25,莴笋,3.7
85,2016-03-26,莴笋,3.5
86,2016-03-27,莴笋,3.5
87,2016-03-28,莴笋,3.4
88,2016-03-29,莴笋,3.4
89,2016-03-30,莴笋,3.3
90,2016-03-31,莴笋,3.8
91,2016-04-01,莴笋,4.0
92,2016-04-02,莴笋,4.2
93,2016-04-03,莴笋,4.2
94,2016-04-04,莴笋,4.0
95,2016-04-05,莴笋,4.0
96,2016-04-06,莴笋,4.0
97,2016-04-07,莴笋,4.0
98,2016-04-08,莴笋,4.0
99,2016-04-09,莴笋,4.0
100,2016-04-10,莴笋,3.5
101,2016-04-11,莴笋,3.5
102,2016-04-12,莴笋,3.3
103,2016-04-13,莴笋,3.2
104,2016-04-14,莴笋,3.0
105,2016-04-15,莴笋,2.5
106,2016-04-16,莴笋,2.5
107,2016-04-17,莴笋,2.5
108,2016-04-18,莴笋,2.5
109,2016-04-19,莴笋,2.3
110,2016-04-20,莴笋,2.3
111,2016-04-21,莴笋,2.0
112,2016-04-22,莴笋,2.0
113,2016-04-23,莴笋,2.0
114,2016-04-24,莴笋,2.0
115,2016-04-25,莴笋,2.0
116,2016-04-26,莴笋,2.0
117,2016-04-27,莴笋,2.0
118,2016-04-28,莴笋,2.0
119,2016-04-29,莴笋,2.0
120,2016-04-30,莴笋,2.0
121,2016-05-01,莴笋,2.0
122,2016-05-02,莴笋,2.0
123,2016-05-03,莴笋,1.9
124,2016-05-04,莴笋,2.0
125,2016-05-05,莴笋,2.0
126,2016-05-06,莴笋,2.0
127,2016-05-07,莴笋,1.9
128,2016-05-08,莴笋,1.8
129,2016-05-09,莴笋,2.0
130,2016-05-10,莴笋,2.0
131,2016-05-11,莴笋,1.8
132,2016-05-12,莴笋,2.0
133,2016-05-13,莴笋,1.8
134,2016-05-14,莴笋,2.0
135,2016-05-15,莴笋,2.0
136,2016-05-16,莴笋,1.8
137,2016-05-17,莴笋,1.8
138,2016-05-18,莴笋,1.9
139,2016-05-19,莴笋,1.9
140,2016-05-20,莴笋,1.9
141,2016-05-21,莴笋,1.9
142,2016-05-22,莴笋,1.9
143,2016-05-23,莴笋,1.9
144,2016-05-24,莴笋,2.0
145,2016-05-25,莴笋,2.0
146,2016-05-26,莴笋,1.9
147,2016-05-27,莴笋,1.9
148,2016-05-28,莴笋,1.9
149,2016-05-29,莴笋,1.9
150,2016-05-30,莴笋,1.9
151,2016-05-31,莴笋,1.9
152,2016-06-01,莴笋,1.9
153,2016-06-02,莴笋,1.7
154,2016-06-03,莴笋,1.8
155,2016-06-04,莴笋,1.8
156,2016-06-05,莴笋,1.8
157,2016-06-06,莴笋,1.9
158,2016-06-07,莴笋,1.7
159,2016-06-08,莴笋,1.7
160,2016-06-09,莴笋,1.6
161,2016-06-10,莴笋,1.7
