,date,name,price
0,2016-01-01,菠菜,4.4
1,2016-01-02,菠菜,4.3
2,2016-01-03,菠菜,4.5
3,2016-01-04,菠菜,4.5
4,2016-01-05,菠菜,4.7
5,2016-01-06,菠菜,5.0
6,2016-01-07,菠菜,5.0
7,2016-01-08,菠菜,5.0
8,2016-01-09,菠菜,5.0
9,2016-01-10,菠菜,5.0
10,2016-01-11,菠菜,5.0
11,2016-01-12,菠菜,5.0
12,2016-01-13,菠菜,6.0
13,2016-01-14,菠菜,5.7
14,2016-01-15,菠菜,6.0
15,2016-01-16,菠菜,6.0
16,2016-01-17,菠菜,6.0
17,2016-01-18,菠菜,6.0
18,2016-01-19,菠菜,6.0
19,2016-01-20,菠菜,6.0
20,2016-01-21,菠菜,6.3
21,2016-01-22,菠菜,6.5
22,2016-01-23,菠菜,6.8
23,2016-01-24,菠菜,7.5
24,2016-01-25,菠菜,7.5
25,2016-01-26,菠菜,7.5
26,2016-01-27,菠菜,7.5
27,2016-01-28,菠菜,7.8
28,2016-01-29,菠菜,8.1
29,2016-01-30,菠菜,8.4
30,2016-01-31,菠菜,8.7
31,2016-02-01,菠菜,9.0
32,2016-02-02,菠菜,9.3
33,2016-02-03,菠菜,9.3
34,2016-02-04,菠菜,9.4
35,2016-02-05,菠菜,9.4
36,2016-02-06,菠菜,9.5
37,2016-02-07,菠菜,9.5
38,2016-02-08,菠菜,10.0
39,2016-02-09,菠菜,10.1
40,2016-02-10,菠菜,10.0
41,2016-02-11,菠菜,11.0
42,2016-02-12,菠菜,11.5
43,2016-02-13,菠菜,11.7
44,2016-02-14,菠菜,12.0
45,2016-02-15,菠菜,11.2
46,2016-02-16,菠菜,10.5
47,2016-02-17,菠菜,10.0
48,2016-02-18,菠菜,10.0
49,2016-02-19,菠菜,9.5
50,2016-02-20,菠菜,10.0
51,2016-02-21,菠菜,9.5
52,2016-02-22,菠菜,9.7
53,2016-02-23,菠菜,9.5
54,2016-02-24,菠菜,9.8
55,2016-02-25,菠菜,9.5
56,2016-02-26,菠菜,8.7
57,2016-02-27,菠菜,9.5
58,2016-02-28,菠菜,8.7
59,2016-02-29,菠菜,8.3
60,2016-03-01,菠菜,8.7
61,2016-03-02,菠菜,8.5
62,2016-03-03,菠菜,8.1
63,2016-03-04,菠菜,8.5
64,2016-03-05,菠菜,8.5
65,2016-03-06,菠菜,8.0
66,2016-03-07,菠菜,8.2
67,2016-03-08,菠菜,8.0
68,2016-03-09,菠菜,8.3
69,2016-03-10,菠菜,8.1
70,2016-03-11,菠菜,8.1
71,2016-03-12,菠菜,8.1
72,2016-03-13,菠菜,8.0
73,2016-03-14,菠菜,8.1
74,2016-03-15,菠菜,7.9
75,2016-03-16,菠菜,7.7
76,2016-03-17,菠菜,8.0
77,2016-03-18,菠菜,8.0
78,2016-03-19,菠菜,8.2
79,2016-03-20,菠菜,8.0
80,2016-03-21,菠菜,8.1
81,2016-03-22,菠菜,8.0
82,2016-03-23,菠菜,7.9
83,2016-03-24,菠菜,7.5
84,2016-03-25,菠菜,7.2
85,2016-03-26,菠菜,7.0
86,2016-03-27,菠菜,6.8
87,2016-03-28,菠菜,6.7
88,2016-03-29,菠菜,6.7
89,2016-03-30,菠菜,6.5
90,2016-03-31,菠菜,7.0
91,2016-04-01,菠菜,7.1
92,2016-04-02,菠菜,6.9
93,2016-04-03,菠菜,7.0
94,2016-04-04,菠菜,7.2
95,2016-04-05,菠菜,7.0
96,2016-04-06,菠菜,7.0
97,2016-04-07,菠菜,6.6
98,2016-04-08,菠菜,6.5
99,2016-04-09,菠菜,6.5
100,2016-04-10,菠菜,6.0
101,2016-04-11,菠菜,5.8
102,2016-04-12,菠菜,5.6
103,2016-04-13,菠菜,5.4
104,2016-04-14,菠菜,5.2
105,2016-04-15,菠菜,5.0
106,2016-04-16,菠菜,5.0
107,2016-04-17,菠菜,5.0
108,2016-04-18,菠菜,5.0
109,2016-04-19,菠菜,5.5
110,2016-04-20,菠菜,5.5
111,2016-04-21,菠菜,5.0
112,2016-04-22,菠菜,4.8
113,2016-04-23,菠菜,5.0
114,2016-04-24,菠菜,5.1
115,2016-04-25,菠菜,5.2
116,2016-04-26,菠菜,5.2
117,2016-04-27,菠菜,5.2
118,2016-04-28,菠菜,4.8
119,2016-04-29,菠菜,4.5
120,2016-04-30,菠菜,4.5
121,2016-05-01,菠菜,4.5
122,2016-05-02,菠菜,4.5
123,2016-05-03,菠菜,4.6
124,2016-05-04,菠菜,4.5
125,2016-05-05,菠菜,4.5
126,2016-05-06,菠菜,4.5
127,2016-05-07,菠菜,4.6
128,2016-05-08,菠菜,4.5
129,2016-05-09,菠菜,4.5
130,2016-05-10,菠菜,4.6
131,2016-05-11,菠菜,4.5
132,2016-05-12,菠菜,4.6
133,2016-05-13,菠菜,4.5
134,2016-05-14,菠菜,4.6
135,2016-05-15,菠菜,4.3
136,2016-05-16,菠菜,4.5
137,2016-05-17,菠菜,4.2
138,2016-05-18,菠菜,4.0
139,2016-05-19,菠菜,3.8
140,2016-05-20,菠菜,3.6
141,2016-05-21,菠菜,3.6
142,2016-05-22,菠菜,3.6
143,2016-05-23,菠菜,3.6
144,2016-05-24,菠菜,3.4
145,2016-05-25,菠菜,3.4
146,2016-05-26,菠菜,3.4
147,2016-05-27,菠菜,3.3
148,2016-05-28,菠菜,3.2
149,2016-05-29,菠菜,3.2
150,2016-05-30,菠菜,3.4
151,2016-05-31,菠菜,3.3
152,2016-06-01,菠菜,3.3
153,2016-06-02,菠菜,3.4
154,2016-06-03,菠菜,3.4
155,2016-06-04,菠菜,3.4
156,2016-06-05,菠菜,3.4
157,2016-06-06,菠菜,3.3
158,2016-06-07,菠菜,3.5
159,2016-06-08,菠菜,3.3
160,2016-06-09,菠菜,3.6
161,2016-06-10,菠菜,3.7
162,2016-06-11,菠菜,4.0
163,2016-06-12,菠菜,4.0
164,2016-06-13,菠菜,3.8
165,2016-06-14,菠菜,3.9
166,2016-06-15,菠菜,4.0
167,2016-06-16,菠菜,3.9
168,2016-06-17,菠菜,4.0
169,2016-06-18,菠菜,4.0
170,2016-06-19,菠菜,4.0
171,2016-06-20,菠菜,4.0
172,2016-06-21,菠菜,4.2
173,2016-06-22,菠菜,4.2
174,2016-06-23,菠菜,4.2
175,2016-06-24,菠菜,4.2
176,2016-06-25,菠菜,4.1
177,2016-06-26,菠菜,4.1
178,2016-06-27,菠菜,4.1
179,2016-06-28,菠菜,4.3
180,2016-06-29,菠菜,4.3
181,2016-06-30,菠菜,4.7
182,2016-07-01,菠菜,5.2
183,2016-07-02,菠菜,5.8
184,2016-07-03,菠菜,5.8
185,2016-07-04,菠菜,5.8
186,2016-07-05,菠菜,6.0
187,2016-07-06,菠菜,6.2
188,2016-07-07,菠菜,6.2
189,2016-07-08,菠菜,6.2
190,2016-07-09,菠菜,6.2
191,2016-07-10,菠菜,6.2
192,2016-07-11,菠菜,6.0
193,2016-07-12,菠菜,6.0
