,date,name,price
0,2016-01-01,葫芦瓜,4.1
1,2016-01-02,葫芦瓜,4.1
2,2016-01-03,葫芦瓜,4.1
3,2016-01-04,葫芦瓜,4.1
4,2016-01-05,葫芦瓜,4.1
5,2016-01-06,葫芦瓜,4.1
6,2016-01-07,葫芦瓜,3.6
7,2016-01-08,葫芦瓜,3.6
8,2016-01-09,葫芦瓜,3.6
9,2016-01-10,葫芦瓜,3.6
10,2016-01-11,葫芦瓜,3.6
11,2016-01-12,葫芦瓜,3.6
12,2016-01-13,葫芦瓜,3.1
13,2016-01-14,葫芦瓜,3.1
14,2016-01-15,葫芦瓜,3.1
15,2016-01-16,葫芦瓜,3.1
16,2016-01-17,葫芦瓜,3.1
17,2016-01-18,葫芦瓜,3.1
18,2016-01-19,葫芦瓜,3.1
19,2016-01-20,葫芦瓜,3.1
20,2016-01-21,葫芦瓜,3.1
21,2016-01-22,葫芦瓜,3.1
22,2016-01-23,葫芦瓜,3.1
23,2016-01-24,葫芦瓜,3.1
24,2016-01-25,葫芦瓜,3.1
25,2016-01-26,葫芦瓜,3.1
26,2016-01-27,葫芦瓜,3.1
27,2016-01-28,葫芦瓜,3.1
28,2016-01-29,葫芦瓜,3.1
29,2016-01-30,葫芦瓜,3.1
30,2016-01-31,葫芦瓜,3.1
31,2016-02-01,葫芦瓜,3.1
32,2016-02-02,葫芦瓜,4.1
33,2016-02-03,葫芦瓜,4.3
34,2016-02-04,葫芦瓜,4.5
35,2016-02-05,葫芦瓜,4.6
36,2016-02-06,葫芦瓜,4.8
37,2016-02-07,葫芦瓜,5.0
38,2016-02-08,葫芦瓜,5.0
39,2016-02-09,葫芦瓜,4.9
40,2016-02-10,葫芦瓜,5.0
41,2016-02-11,葫芦瓜,5.8
42,2016-02-12,葫芦瓜,5.8
43,2016-02-13,葫芦瓜,5.6
44,2016-02-14,葫芦瓜,5.5
45,2016-02-15,葫芦瓜,5.2
46,2016-02-16,葫芦瓜,5.0
47,2016-02-17,葫芦瓜,5.1
48,2016-02-18,葫芦瓜,5.3
49,2016-02-19,葫芦瓜,5.3
50,2016-02-20,葫芦瓜,5.0
51,2016-02-21,葫芦瓜,5.3
52,2016-02-22,葫芦瓜,5.0
53,2016-02-23,葫芦瓜,5.0
54,2016-02-24,葫芦瓜,5.2
55,2016-02-25,葫芦瓜,5.0
56,2016-02-26,葫芦瓜,5.0
57,2016-02-27,葫芦瓜,5.0
58,2016-02-28,葫芦瓜,5.0
59,2016-02-29,葫芦瓜,4.9
60,2016-03-01,葫芦瓜,5.0
61,2016-03-02,葫芦瓜,4.9
62,2016-03-03,葫芦瓜,4.6
63,2016-03-04,葫芦瓜,4.8
64,2016-03-05,葫芦瓜,4.8
65,2016-03-06,葫芦瓜,4.9
66,2016-03-07,葫芦瓜,4.9
67,2016-03-08,葫芦瓜,4.6
68,2016-03-09,葫芦瓜,4.6
69,2016-03-10,葫芦瓜,4.5
70,2016-03-11,葫芦瓜,4.5
71,2016-03-12,葫芦瓜,4.5
72,2016-03-13,葫芦瓜,4.5
73,2016-03-14,葫芦瓜,4.5
74,2016-03-15,葫芦瓜,4.7
75,2016-03-16,葫芦瓜,4.7
76,2016-03-17,葫芦瓜,5.0
77,2016-03-18,葫芦瓜,5.2
78,2016-03-19,葫芦瓜,5.2
79,2016-03-20,葫芦瓜,5.0
80,2016-03-21,葫芦瓜,5.2
81,2016-03-22,葫芦瓜,5.3
82,2016-03-23,葫芦瓜,5.3
83,2016-03-24,葫芦瓜,5.0
84,2016-03-25,葫芦瓜,5.0
85,2016-03-26,葫芦瓜,5.0
86,2016-03-27,葫芦瓜,5.0
87,2016-03-28,葫芦瓜,5.0
88,2016-03-29,葫芦瓜,5.0
89,2016-03-30,葫芦瓜,5.0
90,2016-03-31,葫芦瓜,4.8
91,2016-04-01,葫芦瓜,4.8
92,2016-04-02,葫芦瓜,4.7
93,2016-04-03,葫芦瓜,4.7
94,2016-04-04,葫芦瓜,4.7
95,2016-04-05,葫芦瓜,4.5
96,2016-04-06,葫芦瓜,4.8
97,2016-04-07,葫芦瓜,4.5
98,2016-04-08,葫芦瓜,4.2
99,2016-04-09,葫芦瓜,4.0
100,2016-04-10,葫芦瓜,4.5
101,2016-04-11,葫芦瓜,4.3
102,2016-04-12,葫芦瓜,4.3
103,2016-04-13,葫芦瓜,4.4
104,2016-04-14,葫芦瓜,4.2
105,2016-04-15,葫芦瓜,4.2
106,2016-04-16,葫芦瓜,4.5
107,2016-04-17,葫芦瓜,4.5
108,2016-04-18,葫芦瓜,4.4
109,2016-04-19,葫芦瓜,4.4
110,2016-04-20,葫芦瓜,4.4
111,2016-04-21,葫芦瓜,3.5
112,2016-04-22,葫芦瓜,3.5
113,2016-04-23,葫芦瓜,3.4
114,2016-04-24,葫芦瓜,3.4
115,2016-04-25,葫芦瓜,3.3
116,2016-04-26,葫芦瓜,3.3
117,2016-04-27,葫芦瓜,3.3
118,2016-04-28,葫芦瓜,3.0
119,2016-04-29,葫芦瓜,3.0
120,2016-04-30,葫芦瓜,2.8
121,2016-05-01,葫芦瓜,2.8
122,2016-05-02,葫芦瓜,2.8
123,2016-05-03,葫芦瓜,3.0
124,2016-05-04,葫芦瓜,2.8
125,2016-05-05,葫芦瓜,2.8
126,2016-05-06,葫芦瓜,2.8
127,2016-05-07,葫芦瓜,3.0
128,2016-05-08,葫芦瓜,2.8
129,2016-05-09,葫芦瓜,2.8
130,2016-05-10,葫芦瓜,2.8
131,2016-05-11,葫芦瓜,2.8
132,2016-05-12,葫芦瓜,2.8
133,2016-05-13,葫芦瓜,2.8
134,2016-05-14,葫芦瓜,2.8
135,2016-05-15,葫芦瓜,2.6
136,2016-05-16,葫芦瓜,2.8
137,2016-05-17,葫芦瓜,2.2
138,2016-05-18,葫芦瓜,2.0
139,2016-05-19,葫芦瓜,1.8
140,2016-05-20,葫芦瓜,1.8
141,2016-05-21,葫芦瓜,1.6
142,2016-05-22,葫芦瓜,1.5
143,2016-05-23,葫芦瓜,1.8
144,2016-05-24,葫芦瓜,1.6
145,2016-05-25,葫芦瓜,1.3
146,2016-05-26,葫芦瓜,0.9
147,2016-05-27,葫芦瓜,0.8
148,2016-05-28,葫芦瓜,0.7
149,2016-05-29,葫芦瓜,0.6
150,2016-05-30,葫芦瓜,0.8
151,2016-05-31,葫芦瓜,0.7
152,2016-06-01,葫芦瓜,0.7
153,2016-06-02,葫芦瓜,0.8
154,2016-06-03,葫芦瓜,0.8
155,2016-06-04,葫芦瓜,0.8
156,2016-06-05,葫芦瓜,0.8
157,2016-06-06,葫芦瓜,0.8
158,2016-06-07,葫芦瓜,1.1
159,2016-06-08,葫芦瓜,1.3
160,2016-06-09,葫芦瓜,1.6
161,2016-06-10,葫芦瓜,1.6
