,date,name,price
0,2016-01-01,葱,7.8
1,2016-01-02,葱,8.0
2,2016-01-03,葱,8.0
3,2016-01-04,葱,8.0
4,2016-01-05,葱,8.0
5,2016-01-06,葱,7.0
6,2016-01-07,葱,5.8
7,2016-01-08,葱,5.8
8,2016-01-09,葱,5.8
9,2016-01-10,葱,5.8
10,2016-01-11,葱,5.6
11,2016-01-12,葱,5.6
12,2016-01-13,葱,5.6
13,2016-01-14,葱,5.6
14,2016-01-15,葱,5.6
15,2016-01-16,葱,5.6
16,2016-01-17,葱,5.7
17,2016-01-18,葱,5.7
18,2016-01-19,葱,5.7
19,2016-01-20,葱,5.7
20,2016-01-21,葱,5.7
21,2016-01-22,葱,5.5
22,2016-01-23,葱,5.5
23,2016-01-24,葱,5.5
24,2016-01-25,葱,5.5
25,2016-01-26,葱,5.8
26,2016-01-27,葱,5.8
27,2016-01-28,葱,5.8
28,2016-01-29,葱,5.8
29,2016-01-30,葱,5.8
30,2016-01-31,葱,5.8
31,2016-02-01,葱,5.8
32,2016-02-02,葱,6.2
33,2016-02-03,葱,6.5
34,2016-02-04,葱,6.6
35,2016-02-05,葱,6.8
36,2016-02-06,葱,6.9
37,2016-02-07,葱,7.0
38,2016-02-08,葱,7.5
39,2016-02-09,葱,7.4
40,2016-02-10,葱,7.4
41,2016-02-11,葱,7.0
42,2016-02-12,葱,7.0
43,2016-02-13,葱,7.0
44,2016-02-14,葱,7.0
45,2016-02-15,葱,7.0
46,2016-02-16,葱,7.0
47,2016-02-17,葱,7.0
48,2016-02-18,葱,8.0
49,2016-02-19,葱,8.5
50,2016-02-20,葱,8.5
51,2016-02-21,葱,8.8
52,2016-02-22,葱,8.9
53,2016-02-23,葱,9.0
54,2016-02-24,葱,9.2
55,2016-02-25,葱,9.2
56,2016-02-26,葱,9.0
57,2016-02-27,葱,9.2
58,2016-02-28,葱,9.0
59,2016-02-29,葱,8.8
60,2016-03-01,葱,9.0
61,2016-03-02,葱,8.8
62,2016-03-03,葱,8.5
63,2016-03-04,葱,8.6
64,2016-03-05,葱,8.7
65,2016-03-06,葱,8.6
66,2016-03-07,葱,8.7
67,2016-03-08,葱,8.5
68,2016-03-09,葱,8.3
69,2016-03-10,葱,8.0
70,2016-03-11,葱,7.7
71,2016-03-12,葱,7.7
72,2016-03-13,葱,7.8
73,2016-03-14,葱,7.8
74,2016-03-15,葱,7.8
75,2016-03-16,葱,7.8
76,2016-03-17,葱,7.5
77,2016-03-18,葱,7.2
78,2016-03-19,葱,7.0
79,2016-03-20,葱,6.8
80,2016-03-21,葱,6.8
81,2016-03-22,葱,7.0
82,2016-03-23,葱,6.9
83,2016-03-24,葱,6.6
84,2016-03-25,葱,6.6
85,2016-03-26,葱,6.7
86,2016-03-27,葱,6.8
87,2016-03-28,葱,6.8
88,2016-03-29,葱,6.8
89,2016-03-30,葱,7.0
90,2016-03-31,葱,7.2
