,date,name,price
0,2016-01-01,蒜头,8.0
1,2016-01-02,蒜头,7.8
2,2016-01-03,蒜头,7.8
3,2016-01-04,蒜头,7.8
4,2016-01-05,蒜头,7.8
5,2016-01-06,蒜头,8.0
6,2016-01-07,蒜头,8.0
7,2016-01-08,蒜头,8.0
8,2016-01-09,蒜头,8.0
9,2016-01-10,蒜头,8.3
10,2016-01-11,蒜头,8.3
11,2016-01-12,蒜头,8.1
12,2016-01-13,蒜头,8.1
13,2016-01-14,蒜头,8.1
14,2016-01-15,蒜头,8.1
15,2016-01-16,蒜头,8.1
16,2016-01-17,蒜头,8.1
17,2016-01-18,蒜头,8.1
18,2016-01-19,蒜头,8.1
19,2016-01-20,蒜头,8.1
20,2016-01-21,蒜头,8.1
21,2016-01-22,蒜头,8.1
22,2016-01-23,蒜头,8.1
23,2016-01-24,蒜头,8.1
24,2016-01-25,蒜头,8.1
25,2016-01-26,蒜头,8.1
26,2016-01-27,蒜头,8.1
27,2016-01-28,蒜头,8.2
28,2016-01-29,蒜头,8.2
29,2016-01-30,蒜头,8.2
30,2016-01-31,蒜头,8.4
31,2016-02-01,蒜头,8.4
32,2016-02-02,蒜头,8.7
33,2016-02-03,蒜头,8.7
34,2016-02-04,蒜头,8.9
35,2016-02-05,蒜头,9.1
36,2016-02-06,蒜头,9.4
37,2016-02-07,蒜头,9.6
38,2016-02-08,蒜头,9.8
39,2016-02-09,蒜头,9.7
40,2016-02-10,蒜头,9.0
41,2016-02-11,蒜头,9.5
42,2016-02-12,蒜头,9.6
43,2016-02-13,蒜头,9.4
44,2016-02-14,蒜头,9.0
45,2016-02-15,蒜头,9.2
46,2016-02-16,蒜头,9.5
47,2016-02-17,蒜头,9.5
48,2016-02-18,蒜头,9.5
49,2016-02-19,蒜头,9.8
50,2016-02-20,蒜头,9.5
51,2016-02-21,蒜头,9.8
52,2016-02-22,蒜头,9.5
53,2016-02-23,蒜头,9.5
54,2016-02-24,蒜头,9.2
55,2016-02-25,蒜头,9.6
56,2016-02-26,蒜头,9.2
57,2016-02-27,蒜头,9.6
58,2016-02-28,蒜头,9.2
59,2016-02-29,蒜头,9.5
60,2016-03-01,蒜头,9.2
61,2016-03-02,蒜头,9.2
62,2016-03-03,蒜头,9.5
63,2016-03-04,蒜头,9.7
64,2016-03-05,蒜头,9.6
65,2016-03-06,蒜头,9.6
66,2016-03-07,蒜头,9.8
67,2016-03-08,蒜头,10.0
68,2016-03-09,蒜头,10.2
69,2016-03-10,蒜头,10.1
70,2016-03-11,蒜头,9.7
71,2016-03-12,蒜头,9.7
72,2016-03-13,蒜头,9.5
73,2016-03-14,蒜头,9.7
74,2016-03-15,蒜头,10.0
75,2016-03-16,蒜头,9.8
76,2016-03-17,蒜头,10.0
77,2016-03-18,蒜头,11.0
78,2016-03-19,蒜头,10.5
79,2016-03-20,蒜头,10.0
80,2016-03-21,蒜头,9.7
81,2016-03-22,蒜头,10.0
82,2016-03-23,蒜头,9.8
83,2016-03-24,蒜头,10.0
84,2016-03-25,蒜头,9.7
85,2016-03-26,蒜头,10.0
86,2016-03-27,蒜头,10.5
87,2016-03-28,蒜头,10.7
88,2016-03-29,蒜头,11.0
89,2016-03-30,蒜头,11.5
90,2016-03-31,蒜头,11.8
91,2016-04-01,蒜头,12.0
92,2016-04-02,蒜头,12.5
93,2016-04-03,蒜头,12.5
94,2016-04-04,蒜头,12.5
95,2016-04-05,蒜头,12.3
96,2016-04-06,蒜头,12.0
97,2016-04-07,蒜头,11.0
98,2016-04-08,蒜头,11.3
99,2016-04-09,蒜头,11.0
100,2016-04-10,蒜头,11.0
101,2016-04-11,蒜头,10.8
102,2016-04-12,蒜头,10.5
103,2016-04-13,蒜头,11.0
104,2016-04-14,蒜头,10.0
105,2016-04-15,蒜头,10.0
106,2016-04-16,蒜头,10.0
107,2016-04-17,蒜头,10.5
108,2016-04-18,蒜头,11.0
109,2016-04-19,蒜头,10.5
110,2016-04-20,蒜头,10.5
111,2016-04-21,蒜头,10.3
112,2016-04-22,蒜头,10.5
113,2016-04-23,蒜头,11.0
114,2016-04-24,蒜头,10.9
