,date,name,price
0,2016-01-01,蒜心,3.8
1,2016-01-02,蒜心,3.8
2,2016-01-03,蒜心,3.8
3,2016-01-04,蒜心,3.8
4,2016-01-05,蒜心,3.8
5,2016-01-06,蒜心,3.8
6,2016-01-07,蒜心,3.8
7,2016-01-08,蒜心,3.8
8,2016-01-09,蒜心,3.8
9,2016-01-10,蒜心,3.8
10,2016-01-11,蒜心,4.0
11,2016-01-12,蒜心,4.0
12,2016-01-13,蒜心,4.0
13,2016-01-14,蒜心,4.0
14,2016-01-15,蒜心,4.0
15,2016-01-16,蒜心,4.0
16,2016-01-17,蒜心,4.0
17,2016-01-18,蒜心,4.0
18,2016-01-19,蒜心,3.9
19,2016-01-20,蒜心,3.9
20,2016-01-21,蒜心,3.8
21,2016-01-22,蒜心,3.8
22,2016-01-23,蒜心,3.8
23,2016-01-24,蒜心,3.8
24,2016-01-25,蒜心,3.8
25,2016-01-26,蒜心,3.8
26,2016-01-27,蒜心,3.8
27,2016-01-28,蒜心,4.1
28,2016-01-29,蒜心,4.3
29,2016-01-30,蒜心,4.3
30,2016-01-31,蒜心,4.8
31,2016-02-01,蒜心,4.8
32,2016-02-02,蒜心,5.5
33,2016-02-03,蒜心,5.6
34,2016-02-04,蒜心,5.7
35,2016-02-05,蒜心,5.8
36,2016-02-06,蒜心,5.8
37,2016-02-07,蒜心,5.9
38,2016-02-08,蒜心,8.0
39,2016-02-09,蒜心,8.1
40,2016-02-10,蒜心,8.0
41,2016-02-11,蒜心,8.2
42,2016-02-12,蒜心,8.2
43,2016-02-13,蒜心,8.2
44,2016-02-14,蒜心,8.0
45,2016-02-15,蒜心,8.0
46,2016-02-16,蒜心,7.9
47,2016-02-17,蒜心,7.2
48,2016-02-18,蒜心,7.1
49,2016-02-19,蒜心,7.0
50,2016-02-20,蒜心,6.5
51,2016-02-21,蒜心,6.5
52,2016-02-22,蒜心,6.3
53,2016-02-23,蒜心,6.5
54,2016-02-24,蒜心,6.2
55,2016-02-25,蒜心,6.2
56,2016-02-26,蒜心,6.0
57,2016-02-27,蒜心,6.2
58,2016-02-28,蒜心,6.0
59,2016-02-29,蒜心,6.2
60,2016-03-01,蒜心,6.0
61,2016-03-02,蒜心,6.2
62,2016-03-03,蒜心,6.0
63,2016-03-04,蒜心,5.8
64,2016-03-05,蒜心,5.8
65,2016-03-06,蒜心,6.0
66,2016-03-07,蒜心,6.1
67,2016-03-08,蒜心,5.7
68,2016-03-09,蒜心,5.5
69,2016-03-10,蒜心,5.8
70,2016-03-11,蒜心,5.8
71,2016-03-12,蒜心,5.8
72,2016-03-13,蒜心,6.0
73,2016-03-14,蒜心,5.8
74,2016-03-15,蒜心,6.0
75,2016-03-16,蒜心,6.4
76,2016-03-17,蒜心,6.4
77,2016-03-18,蒜心,6.5
78,2016-03-19,蒜心,6.8
79,2016-03-20,蒜心,6.8
80,2016-03-21,蒜心,6.6
81,2016-03-22,蒜心,6.6
82,2016-03-23,蒜心,6.5
83,2016-03-24,蒜心,7.0
84,2016-03-25,蒜心,7.2
85,2016-03-26,蒜心,7.6
86,2016-03-27,蒜心,7.8
87,2016-03-28,蒜心,7.6
88,2016-03-29,蒜心,7.5
89,2016-03-30,蒜心,7.5
90,2016-03-31,蒜心,7.8
91,2016-04-01,蒜心,7.9
92,2016-04-02,蒜心,7.9
93,2016-04-03,蒜心,7.9
94,2016-04-04,蒜心,7.5
95,2016-04-05,蒜心,7.5
96,2016-04-06,蒜心,7.3
97,2016-04-07,蒜心,7.0
98,2016-04-08,蒜心,7.1
99,2016-04-09,蒜心,7.0
100,2016-04-10,蒜心,6.8
101,2016-04-11,蒜心,6.6
102,2016-04-12,蒜心,6.7
103,2016-04-13,蒜心,6.7
104,2016-04-14,蒜心,6.0
105,2016-04-15,蒜心,6.0
106,2016-04-16,蒜心,5.8
107,2016-04-17,蒜心,5.0
108,2016-04-18,蒜心,5.3
109,2016-04-19,蒜心,5.5
110,2016-04-20,蒜心,5.5
111,2016-04-21,蒜心,5.8
112,2016-04-22,蒜心,6.0
113,2016-04-23,蒜心,6.0
114,2016-04-24,蒜心,6.0
115,2016-04-25,蒜心,6.0
116,2016-04-26,蒜心,6.0
117,2016-04-27,蒜心,6.0
118,2016-04-28,蒜心,6.0
119,2016-04-29,蒜心,6.0
120,2016-04-30,蒜心,6.0
121,2016-05-01,蒜心,6.0
122,2016-05-02,蒜心,6.0
123,2016-05-03,蒜心,6.2
124,2016-05-04,蒜心,6.0
125,2016-05-05,蒜心,6.0
126,2016-05-06,蒜心,6.0
127,2016-05-07,蒜心,6.2
128,2016-05-08,蒜心,5.8
129,2016-05-09,蒜心,6.0
130,2016-05-10,蒜心,5.5
131,2016-05-11,蒜心,5.8
132,2016-05-12,蒜心,5.5
133,2016-05-13,蒜心,5.8
134,2016-05-14,蒜心,5.5
135,2016-05-15,蒜心,5.6
136,2016-05-16,蒜心,5.8
137,2016-05-17,蒜心,5.6
138,2016-05-18,蒜心,5.5
139,2016-05-19,蒜心,5.5
140,2016-05-20,蒜心,5.6
141,2016-05-21,蒜心,5.6
142,2016-05-22,蒜心,5.6
143,2016-05-23,蒜心,5.6
144,2016-05-24,蒜心,5.6
145,2016-05-25,蒜心,5.6
146,2016-05-26,蒜心,5.4
147,2016-05-27,蒜心,5.4
148,2016-05-28,蒜心,5.4
149,2016-05-29,蒜心,5.5
150,2016-05-30,蒜心,5.4
151,2016-05-31,蒜心,5.5
152,2016-06-01,蒜心,5.6
153,2016-06-02,蒜心,5.4
154,2016-06-03,蒜心,5.5
155,2016-06-04,蒜心,5.4
156,2016-06-05,蒜心,5.4
157,2016-06-06,蒜心,5.4
158,2016-06-07,蒜心,5.6
159,2016-06-08,蒜心,5.6
160,2016-06-09,蒜心,6.0
161,2016-06-10,蒜心,6.1
162,2016-06-11,蒜心,6.1
163,2016-06-12,蒜心,6.0
164,2016-06-13,蒜心,6.1
165,2016-06-14,蒜心,5.7
166,2016-06-15,蒜心,5.7
167,2016-06-16,蒜心,6.0
168,2016-06-17,蒜心,6.2
169,2016-06-18,蒜心,6.0
170,2016-06-19,蒜心,6.0
171,2016-06-20,蒜心,6.0
172,2016-06-21,蒜心,5.8
173,2016-06-22,蒜心,5.9
174,2016-06-23,蒜心,5.7
175,2016-06-24,蒜心,6.0
176,2016-06-25,蒜心,5.8
177,2016-06-26,蒜心,5.9
178,2016-06-27,蒜心,5.9
179,2016-06-28,蒜心,6.0
180,2016-06-29,蒜心,5.9
181,2016-06-30,蒜心,6.3
182,2016-07-01,蒜心,6.8
183,2016-07-02,蒜心,7.0
184,2016-07-03,蒜心,7.2
185,2016-07-04,蒜心,7.2
186,2016-07-05,蒜心,7.2
187,2016-07-06,蒜心,7.2
188,2016-07-07,蒜心,6.5
189,2016-07-08,蒜心,6.3
190,2016-07-09,蒜心,6.3
191,2016-07-10,蒜心,6.3
192,2016-07-11,蒜心,6.0
193,2016-07-12,蒜心,6.0
194,2016-07-13,蒜心,6.0
195,2016-07-14,蒜心,6.0
196,2016-07-15,蒜心,6.0
197,2016-07-16,蒜心,6.0
198,2016-07-17,蒜心,6.1
199,2016-07-18,蒜心,6.1
200,2016-07-19,蒜心,6.2
201,2016-07-20,蒜心,6.4
202,2016-07-21,蒜心,6.6
203,2016-07-22,蒜心,6.6
204,2016-07-23,蒜心,6.6
205,2016-07-24,蒜心,6.6
206,2016-07-25,蒜心,6.6
207,2016-07-26,蒜心,6.6
208,2016-07-27,蒜心,6.6
209,2016-07-28,蒜心,6.6
210,2016-07-29,蒜心,6.8
211,2016-07-30,蒜心,6.6
212,2016-07-31,蒜心,6.5
213,2016-08-01,蒜心,6.2
214,2016-08-02,蒜心,6.1
215,2016-08-03,蒜心,6.0
216,2016-08-04,蒜心,6.3
217,2016-08-05,蒜心,6.5
218,2016-08-06,蒜心,6.2
219,2016-08-07,蒜心,6.1
220,2016-08-08,蒜心,5.9
221,2016-08-09,蒜心,5.7
222,2016-08-10,蒜心,5.6
223,2016-08-11,蒜心,5.7
224,2016-08-12,蒜心,5.8
225,2016-08-13,蒜心,5.8
226,2016-08-14,蒜心,5.7
227,2016-08-15,蒜心,5.8
228,2016-08-16,蒜心,6.0
229,2016-08-17,蒜心,5.8
230,2016-08-18,蒜心,5.9
231,2016-08-19,蒜心,6.0
232,2016-08-20,蒜心,6.2
233,2016-08-21,蒜心,6.2
234,2016-08-22,蒜心,6.1
235,2016-08-23,蒜心,6.1
236,2016-08-24,蒜心,6.1
237,2016-08-25,蒜心,5.9
238,2016-08-26,蒜心,5.9
239,2016-08-27,蒜心,5.9
240,2016-08-28,蒜心,5.8
241,2016-08-29,蒜心,5.9
242,2016-08-30,蒜心,5.9
243,2016-08-31,蒜心,5.9
244,2016-09-01,蒜心,5.9
245,2016-09-02,蒜心,6.2
246,2016-09-03,蒜心,6.5
247,2016-09-04,蒜心,6.5
248,2016-09-05,蒜心,6.5
249,2016-09-06,蒜心,6.5
250,2016-09-07,蒜心,6.5
251,2016-09-08,蒜心,6.5
252,2016-09-09,蒜心,6.5
253,2016-09-10,蒜心,6.5
254,2016-09-11,蒜心,6.5
255,2016-09-12,蒜心,6.5
256,2016-09-13,蒜心,6.5
257,2016-09-14,蒜心,6.5
258,2016-09-15,蒜心,6.5
259,2016-09-16,蒜心,6.5
260,2016-09-17,蒜心,6.4
261,2016-09-18,蒜心,6.4
262,2016-09-19,蒜心,6.4
263,2016-09-20,蒜心,6.4
264,2016-09-21,蒜心,6.4
265,2016-09-22,蒜心,6.5
266,2016-09-23,蒜心,6.7
267,2016-09-24,蒜心,6.8
268,2016-09-25,蒜心,7.0
269,2016-09-26,蒜心,7.0
270,2016-09-27,蒜心,7.0
271,2016-09-28,蒜心,7.0
272,2016-09-29,蒜心,7.0
273,2016-09-30,蒜心,7.3
274,2016-10-01,蒜心,7.3
275,2016-10-02,蒜心,7.2
276,2016-10-03,蒜心,7.0
277,2016-10-04,蒜心,7.0
278,2016-10-05,蒜心,7.0
279,2016-10-06,蒜心,7.0
280,2016-10-07,蒜心,7.0
281,2016-10-08,蒜心,7.0
282,2016-10-09,蒜心,7.0
283,2016-10-10,蒜心,7.0
284,2016-10-11,蒜心,7.0
285,2016-10-12,蒜心,6.8
286,2016-10-13,蒜心,6.6
287,2016-10-14,蒜心,6.5
288,2016-10-15,蒜心,6.6
289,2016-10-16,蒜心,6.6
290,2016-10-17,蒜心,6.5
291,2016-10-18,蒜心,6.5
292,2016-10-19,蒜心,6.0
293,2016-10-20,蒜心,6.6
294,2016-10-21,蒜心,6.6
295,2016-10-22,蒜心,6.6
296,2016-10-23,蒜心,6.6
297,2016-10-24,蒜心,6.6
298,2016-10-25,蒜心,6.3
299,2016-10-26,蒜心,6.3
300,2016-10-27,蒜心,6.3
301,2016-10-28,蒜心,6.3
302,2016-10-29,蒜心,6.0
303,2016-10-30,蒜心,6.0
304,2016-10-31,蒜心,6.0
305,2016-11-01,蒜心,6.0
306,2016-11-02,蒜心,6.0
307,2016-11-03,蒜心,6.0
308,2016-11-04,蒜心,6.1
309,2016-11-05,蒜心,6.1
310,2016-11-06,蒜心,6.2
311,2016-11-07,蒜心,6.1
312,2016-11-08,蒜心,6.2
313,2016-11-09,蒜心,6.2
314,2016-11-10,蒜心,6.2
315,2016-11-11,蒜心,6.2
316,2016-11-12,蒜心,6.2
317,2016-11-13,蒜心,6.2
318,2016-11-14,蒜心,6.2
319,2016-11-15,蒜心,6.2
320,2016-11-16,蒜心,6.5
321,2016-11-17,蒜心,7.0
322,2016-11-18,蒜心,7.2
323,2016-11-19,蒜心,7.2
324,2016-11-20,蒜心,7.2
325,2016-11-21,蒜心,7.2
326,2016-11-22,蒜心,7.3
327,2016-11-23,蒜心,7.2
328,2016-11-24,蒜心,7.0
329,2016-11-25,蒜心,6.9
330,2016-11-26,蒜心,6.9
331,2016-11-27,蒜心,6.9
332,2016-11-28,蒜心,6.9
333,2016-11-29,蒜心,6.8
334,2016-11-30,蒜心,6.8
335,2016-12-01,蒜心,7.3
336,2016-12-02,蒜心,7.5
337,2016-12-03,蒜心,7.7
338,2016-12-04,蒜心,7.7
339,2016-12-05,蒜心,7.7
340,2016-12-06,蒜心,7.7
341,2016-12-07,蒜心,7.5
342,2016-12-08,蒜心,7.4
