,date,name,price
0,2016-01-01,蒜肉,8.2
1,2016-01-02,蒜肉,8.2
2,2016-01-03,蒜肉,8.2
3,2016-01-04,蒜肉,8.1
4,2016-01-05,蒜肉,8.1
5,2016-01-06,蒜肉,8.1
6,2016-01-07,蒜肉,8.1
7,2016-01-08,蒜肉,8.1
8,2016-01-09,蒜肉,8.1
9,2016-01-10,蒜肉,8.1
10,2016-01-11,蒜肉,8.1
11,2016-01-12,蒜肉,8.1
12,2016-01-13,蒜肉,9.2
13,2016-01-14,蒜肉,8.2
14,2016-01-15,蒜肉,8.2
15,2016-01-16,蒜肉,8.2
16,2016-01-17,蒜肉,9.0
17,2016-01-18,蒜肉,9.0
18,2016-01-19,蒜肉,8.7
19,2016-01-20,蒜肉,8.5
20,2016-01-21,蒜肉,8.5
21,2016-01-22,蒜肉,8.2
22,2016-01-23,蒜肉,8.3
23,2016-01-24,蒜肉,8.3
24,2016-01-25,蒜肉,8.3
25,2016-01-26,蒜肉,8.3
26,2016-01-27,蒜肉,8.3
27,2016-01-28,蒜肉,8.3
28,2016-01-29,蒜肉,8.3
29,2016-01-30,蒜肉,8.3
30,2016-01-31,蒜肉,8.3
31,2016-02-01,蒜肉,8.3
32,2016-02-02,蒜肉,8.3
33,2016-02-03,蒜肉,8.3
34,2016-02-04,蒜肉,8.3
35,2016-02-05,蒜肉,8.3
36,2016-02-06,蒜肉,8.3
37,2016-02-07,蒜肉,8.3
38,2016-02-08,蒜肉,8.5
39,2016-02-09,蒜肉,8.4
40,2016-02-10,蒜肉,8.4
41,2016-02-11,蒜肉,10.5
42,2016-02-12,蒜肉,10.5
43,2016-02-13,蒜肉,10.3
44,2016-02-14,蒜肉,10.0
45,2016-02-15,蒜肉,10.0
46,2016-02-16,蒜肉,10.0
47,2016-02-17,蒜肉,10.0
48,2016-02-18,蒜肉,11.0
49,2016-02-19,蒜肉,10.5
50,2016-02-20,蒜肉,11.0
51,2016-02-21,蒜肉,10.5
52,2016-02-22,蒜肉,10.9
53,2016-02-23,蒜肉,10.5
54,2016-02-24,蒜肉,10.5
55,2016-02-25,蒜肉,10.5
56,2016-02-26,蒜肉,10.0
57,2016-02-27,蒜肉,10.5
58,2016-02-28,蒜肉,10.0
59,2016-02-29,蒜肉,10.0
60,2016-03-01,蒜肉,10.0
61,2016-03-02,蒜肉,10.0
62,2016-03-03,蒜肉,10.0
63,2016-03-04,蒜肉,10.0
64,2016-03-05,蒜肉,10.0
65,2016-03-06,蒜肉,10.0
66,2016-03-07,蒜肉,10.0
67,2016-03-08,蒜肉,9.8
68,2016-03-09,蒜肉,9.5
69,2016-03-10,蒜肉,9.2
70,2016-03-11,蒜肉,9.0
71,2016-03-12,蒜肉,8.8
72,2016-03-13,蒜肉,8.5
73,2016-03-14,蒜肉,8.3
74,2016-03-15,蒜肉,8.0
75,2016-03-16,蒜肉,8.0
76,2016-03-17,蒜肉,7.6
77,2016-03-18,蒜肉,7.5
78,2016-03-19,蒜肉,7.5
79,2016-03-20,蒜肉,7.5
80,2016-03-21,蒜肉,7.5
81,2016-03-22,蒜肉,7.5
82,2016-03-23,蒜肉,7.5
83,2016-03-24,蒜肉,8.5
84,2016-03-25,蒜肉,9.2
85,2016-03-26,蒜肉,10.0
86,2016-03-27,蒜肉,10.0
87,2016-03-28,蒜肉,10.0
88,2016-03-29,蒜肉,10.5
89,2016-03-30,蒜肉,11.0
90,2016-03-31,蒜肉,11.5
91,2016-04-01,蒜肉,12.0
92,2016-04-02,蒜肉,12.5
93,2016-04-03,蒜肉,12.5
94,2016-04-04,蒜肉,12.5
95,2016-04-05,蒜肉,12.5
96,2016-04-06,蒜肉,12.5
97,2016-04-07,蒜肉,12.5
98,2016-04-08,蒜肉,13.0
99,2016-04-09,蒜肉,12.0
100,2016-04-10,蒜肉,12.5
101,2016-04-11,蒜肉,12.5
102,2016-04-12,蒜肉,12.8
103,2016-04-13,蒜肉,12.7
104,2016-04-14,蒜肉,13.0
105,2016-04-15,蒜肉,13.0
106,2016-04-16,蒜肉,13.0
107,2016-04-17,蒜肉,13.0
108,2016-04-18,蒜肉,13.0
109,2016-04-19,蒜肉,13.0
110,2016-04-20,蒜肉,13.0
111,2016-04-21,蒜肉,13.0
112,2016-04-22,蒜肉,12.6
113,2016-04-23,蒜肉,12.3
114,2016-04-24,蒜肉,12.3
115,2016-04-25,蒜肉,12.0
116,2016-04-26,蒜肉,12.0
117,2016-04-27,蒜肉,12.0
118,2016-04-28,蒜肉,12.0
119,2016-04-29,蒜肉,12.0
120,2016-04-30,蒜肉,12.0
121,2016-05-01,蒜肉,11.5
122,2016-05-02,蒜肉,11.5
123,2016-05-03,蒜肉,12.0
124,2016-05-04,蒜肉,12.0
125,2016-05-05,蒜肉,11.5
126,2016-05-06,蒜肉,11.5
127,2016-05-07,蒜肉,12.0
128,2016-05-08,蒜肉,11.5
129,2016-05-09,蒜肉,11.5
130,2016-05-10,蒜肉,12.0
131,2016-05-11,蒜肉,11.5
132,2016-05-12,蒜肉,12.0
133,2016-05-13,蒜肉,11.5
134,2016-05-14,蒜肉,12.0
135,2016-05-15,蒜肉,11.8
136,2016-05-16,蒜肉,11.5
137,2016-05-17,蒜肉,11.5
138,2016-05-18,蒜肉,11.5
139,2016-05-19,蒜肉,11.0
140,2016-05-20,蒜肉,10.6
141,2016-05-21,蒜肉,10.2
142,2016-05-22,蒜肉,10.2
143,2016-05-23,蒜肉,10.6
144,2016-05-24,蒜肉,10.5
145,2016-05-25,蒜肉,10.5
146,2016-05-26,蒜肉,10.5
147,2016-05-27,蒜肉,11.0
148,2016-05-28,蒜肉,10.5
149,2016-05-29,蒜肉,10.0
150,2016-05-30,蒜肉,10.5
151,2016-05-31,蒜肉,10.5
152,2016-06-01,蒜肉,10.5
153,2016-06-02,蒜肉,10.4
154,2016-06-03,蒜肉,10.5
155,2016-06-04,蒜肉,11.0
156,2016-06-05,蒜肉,11.0
157,2016-06-06,蒜肉,11.0
158,2016-06-07,蒜肉,11.0
159,2016-06-08,蒜肉,11.0
160,2016-06-09,蒜肉,10.8
161,2016-06-10,蒜肉,10.5
162,2016-06-11,蒜肉,10.5
163,2016-06-12,蒜肉,10.5
164,2016-06-13,蒜肉,10.5
165,2016-06-14,蒜肉,10.5
166,2016-06-15,蒜肉,10.5
167,2016-06-16,蒜肉,10.5
168,2016-06-17,蒜肉,10.0
169,2016-06-18,蒜肉,10.0
170,2016-06-19,蒜肉,10.0
171,2016-06-20,蒜肉,10.5
172,2016-06-21,蒜肉,10.8
173,2016-06-22,蒜肉,10.8
174,2016-06-23,蒜肉,10.8
175,2016-06-24,蒜肉,10.8
176,2016-06-25,蒜肉,10.8
177,2016-06-26,蒜肉,10.8
178,2016-06-27,蒜肉,10.8
179,2016-06-28,蒜肉,10.8
180,2016-06-29,蒜肉,10.6
181,2016-06-30,蒜肉,10.2
182,2016-07-01,蒜肉,10.2
183,2016-07-02,蒜肉,10.2
184,2016-07-03,蒜肉,10.2
185,2016-07-04,蒜肉,10.2
186,2016-07-05,蒜肉,10.2
187,2016-07-06,蒜肉,10.2
188,2016-07-07,蒜肉,10.2
189,2016-07-08,蒜肉,10.2
190,2016-07-09,蒜肉,10.2
191,2016-07-10,蒜肉,10.2
192,2016-07-11,蒜肉,10.2
193,2016-07-12,蒜肉,10.2
194,2016-07-13,蒜肉,10.2
195,2016-07-14,蒜肉,10.2
196,2016-07-15,蒜肉,10.2
197,2016-07-16,蒜肉,10.2
198,2016-07-17,蒜肉,10.3
199,2016-07-18,蒜肉,10.3
200,2016-07-19,蒜肉,10.5
201,2016-07-20,蒜肉,10.5
202,2016-07-21,蒜肉,10.8
203,2016-07-22,蒜肉,11.0
204,2016-07-23,蒜肉,11.2
205,2016-07-24,蒜肉,11.2
206,2016-07-25,蒜肉,11.2
207,2016-07-26,蒜肉,11.2
208,2016-07-27,蒜肉,11.2
209,2016-07-28,蒜肉,11.5
210,2016-07-29,蒜肉,11.5
211,2016-07-30,蒜肉,11.6
212,2016-07-31,蒜肉,11.7
213,2016-08-01,蒜肉,11.7
214,2016-08-02,蒜肉,11.5
215,2016-08-03,蒜肉,11.3
216,2016-08-04,蒜肉,11.2
217,2016-08-05,蒜肉,11.0
218,2016-08-06,蒜肉,11.2
219,2016-08-07,蒜肉,11.5
220,2016-08-08,蒜肉,11.3
221,2016-08-09,蒜肉,11.5
222,2016-08-10,蒜肉,11.3
223,2016-08-11,蒜肉,11.4
224,2016-08-12,蒜肉,11.3
225,2016-08-13,蒜肉,11.3
226,2016-08-14,蒜肉,11.4
227,2016-08-15,蒜肉,11.3
228,2016-08-16,蒜肉,11.3
229,2016-08-17,蒜肉,11.3
230,2016-08-18,蒜肉,11.4
231,2016-08-19,蒜肉,11.5
232,2016-08-20,蒜肉,11.5
233,2016-08-21,蒜肉,12.0
234,2016-08-22,蒜肉,11.9
