,date,name,price
0,2016-01-01,西兰花,4.3
1,2016-01-02,西兰花,4.4
2,2016-01-03,西兰花,4.4
3,2016-01-04,西兰花,4.4
4,2016-01-05,西兰花,4.5
5,2016-01-06,西兰花,4.5
6,2016-01-07,西兰花,4.2
7,2016-01-08,西兰花,4.2
8,2016-01-09,西兰花,4.2
9,2016-01-10,西兰花,4.2
10,2016-01-11,西兰花,4.2
11,2016-01-12,西兰花,4.2
12,2016-01-13,西兰花,4.5
13,2016-01-14,西兰花,4.5
14,2016-01-15,西兰花,4.5
15,2016-01-16,西兰花,4.5
16,2016-01-17,西兰花,4.6
17,2016-01-18,西兰花,4.6
18,2016-01-19,西兰花,4.6
19,2016-01-20,西兰花,4.6
20,2016-01-21,西兰花,4.6
21,2016-01-22,西兰花,4.6
22,2016-01-23,西兰花,4.6
23,2016-01-24,西兰花,5.0
24,2016-01-25,西兰花,5.0
25,2016-01-26,西兰花,5.3
26,2016-01-27,西兰花,5.5
27,2016-01-28,西兰花,6.0
28,2016-01-29,西兰花,6.4
29,2016-01-30,西兰花,6.7
30,2016-01-31,西兰花,7.0
31,2016-02-01,西兰花,7.0
32,2016-02-02,西兰花,7.5
33,2016-02-03,西兰花,8.0
34,2016-02-04,西兰花,8.2
35,2016-02-05,西兰花,8.3
36,2016-02-06,西兰花,8.5
37,2016-02-07,西兰花,8.6
38,2016-02-08,西兰花,9.8
39,2016-02-09,西兰花,9.7
40,2016-02-10,西兰花,10.0
41,2016-02-11,西兰花,11.0
42,2016-02-12,西兰花,12.0
43,2016-02-13,西兰花,11.8
44,2016-02-14,西兰花,12.0
45,2016-02-15,西兰花,11.3
46,2016-02-16,西兰花,10.6
47,2016-02-17,西兰花,10.6
48,2016-02-18,西兰花,10.0
49,2016-02-19,西兰花,10.0
50,2016-02-20,西兰花,10.0
51,2016-02-21,西兰花,10.0
52,2016-02-22,西兰花,9.7
53,2016-02-23,西兰花,10.0
54,2016-02-24,西兰花,11.0
55,2016-02-25,西兰花,11.5
56,2016-02-26,西兰花,11.0
57,2016-02-27,西兰花,11.5
58,2016-02-28,西兰花,11.0
59,2016-02-29,西兰花,11.5
60,2016-03-01,西兰花,11.0
61,2016-03-02,西兰花,10.8
62,2016-03-03,西兰花,10.5
63,2016-03-04,西兰花,10.3
64,2016-03-05,西兰花,10.0
65,2016-03-06,西兰花,9.5
66,2016-03-07,西兰花,9.5
67,2016-03-08,西兰花,9.2
68,2016-03-09,西兰花,9.4
69,2016-03-10,西兰花,9.0
70,2016-03-11,西兰花,8.6
71,2016-03-12,西兰花,8.4
72,2016-03-13,西兰花,8.0
73,2016-03-14,西兰花,8.0
74,2016-03-15,西兰花,8.4
75,2016-03-16,西兰花,8.6
76,2016-03-17,西兰花,8.8
77,2016-03-18,西兰花,8.8
78,2016-03-19,西兰花,8.8
79,2016-03-20,西兰花,9.0
80,2016-03-21,西兰花,9.0
81,2016-03-22,西兰花,9.0
82,2016-03-23,西兰花,9.2
83,2016-03-24,西兰花,9.0
84,2016-03-25,西兰花,9.0
85,2016-03-26,西兰花,9.0
86,2016-03-27,西兰花,9.0
87,2016-03-28,西兰花,9.0
88,2016-03-29,西兰花,9.0
89,2016-03-30,西兰花,9.1
90,2016-03-31,西兰花,9.5
91,2016-04-01,西兰花,9.5
92,2016-04-02,西兰花,9.4
93,2016-04-03,西兰花,9.4
94,2016-04-04,西兰花,9.5
95,2016-04-05,西兰花,9.0
96,2016-04-06,西兰花,8.6
97,2016-04-07,西兰花,8.2
98,2016-04-08,西兰花,8.0
99,2016-04-09,西兰花,8.0
100,2016-04-10,西兰花,8.0
101,2016-04-11,西兰花,7.8
102,2016-04-12,西兰花,7.8
103,2016-04-13,西兰花,7.4
104,2016-04-14,西兰花,7.5
105,2016-04-15,西兰花,7.5
106,2016-04-16,西兰花,7.5
107,2016-04-17,西兰花,7.5
108,2016-04-18,西兰花,7.3
109,2016-04-19,西兰花,6.5
110,2016-04-20,西兰花,6.5
111,2016-04-21,西兰花,6.5
112,2016-04-22,西兰花,6.6
113,2016-04-23,西兰花,6.5
114,2016-04-24,西兰花,6.4
115,2016-04-25,西兰花,6.4
116,2016-04-26,西兰花,6.4
117,2016-04-27,西兰花,6.2
118,2016-04-28,西兰花,6.2
119,2016-04-29,西兰花,6.2
120,2016-04-30,西兰花,6.2
121,2016-05-01,西兰花,6.0
122,2016-05-02,西兰花,6.0
123,2016-05-03,西兰花,6.1
124,2016-05-04,西兰花,6.2
125,2016-05-05,西兰花,6.0
126,2016-05-06,西兰花,6.0
127,2016-05-07,西兰花,6.1
128,2016-05-08,西兰花,6.0
129,2016-05-09,西兰花,6.0
130,2016-05-10,西兰花,6.2
131,2016-05-11,西兰花,5.8
132,2016-05-12,西兰花,6.2
133,2016-05-13,西兰花,5.8
134,2016-05-14,西兰花,6.2
135,2016-05-15,西兰花,5.8
136,2016-05-16,西兰花,5.8
137,2016-05-17,西兰花,5.2
138,2016-05-18,西兰花,4.8
139,2016-05-19,西兰花,4.4
140,2016-05-20,西兰花,4.2
141,2016-05-21,西兰花,4.0
142,2016-05-22,西兰花,3.8
143,2016-05-23,西兰花,4.2
144,2016-05-24,西兰花,4.0
145,2016-05-25,西兰花,4.0
146,2016-05-26,西兰花,4.3
147,2016-05-27,西兰花,4.5
148,2016-05-28,西兰花,4.3
149,2016-05-29,西兰花,4.2
150,2016-05-30,西兰花,4.3
151,2016-05-31,西兰花,4.2
152,2016-06-01,西兰花,4.2
153,2016-06-02,西兰花,4.0
154,2016-06-03,西兰花,3.9
155,2016-06-04,西兰花,3.9
156,2016-06-05,西兰花,3.9
157,2016-06-06,西兰花,4.0
158,2016-06-07,西兰花,3.8
159,2016-06-08,西兰花,3.7
160,2016-06-09,西兰花,3.7
161,2016-06-10,西兰花,3.7
162,2016-06-11,西兰花,3.5
163,2016-06-12,西兰花,3.6
164,2016-06-13,西兰花,3.6
165,2016-06-14,西兰花,3.8
166,2016-06-15,西兰花,3.8
167,2016-06-16,西兰花,3.7
168,2016-06-17,西兰花,3.7
169,2016-06-18,西兰花,3.7
170,2016-06-19,西兰花,3.6
171,2016-06-20,西兰花,3.5
172,2016-06-21,西兰花,3.6
173,2016-06-22,西兰花,3.7
174,2016-06-23,西兰花,3.7
175,2016-06-24,西兰花,3.7
176,2016-06-25,西兰花,3.7
177,2016-06-26,西兰花,3.6
178,2016-06-27,西兰花,3.6
179,2016-06-28,西兰花,3.8
180,2016-06-29,西兰花,3.7
181,2016-06-30,西兰花,3.9
182,2016-07-01,西兰花,3.9
183,2016-07-02,西兰花,3.9
184,2016-07-03,西兰花,3.8
185,2016-07-04,西兰花,3.8
186,2016-07-05,西兰花,3.8
187,2016-07-06,西兰花,3.8
188,2016-07-07,西兰花,3.8
189,2016-07-08,西兰花,3.8
