,date,name,price
0,2016-01-01,西生菜,3.1
1,2016-01-02,西生菜,3.2
2,2016-01-03,西生菜,3.2
3,2016-01-04,西生菜,3.2
4,2016-01-05,西生菜,3.2
5,2016-01-06,西生菜,3.0
6,2016-01-07,西生菜,3.0
7,2016-01-08,西生菜,3.0
8,2016-01-09,西生菜,3.0
9,2016-01-10,西生菜,3.0
10,2016-01-11,西生菜,3.0
11,2016-01-12,西生菜,3.0
12,2016-01-13,西生菜,3.1
13,2016-01-14,西生菜,3.1
14,2016-01-15,西生菜,3.1
15,2016-01-16,西生菜,3.1
16,2016-01-17,西生菜,3.2
17,2016-01-18,西生菜,3.2
18,2016-01-19,西生菜,3.2
19,2016-01-20,西生菜,3.2
20,2016-01-21,西生菜,3.2
21,2016-01-22,西生菜,3.2
22,2016-01-23,西生菜,3.2
23,2016-01-24,西生菜,3.5
24,2016-01-25,西生菜,3.5
25,2016-01-26,西生菜,3.8
26,2016-01-27,西生菜,4.0
27,2016-01-28,西生菜,4.3
28,2016-01-29,西生菜,4.7
29,2016-01-30,西生菜,5.0
30,2016-01-31,西生菜,5.3
31,2016-02-01,西生菜,5.7
32,2016-02-02,西生菜,6.0
33,2016-02-03,西生菜,6.0
34,2016-02-04,西生菜,6.0
35,2016-02-05,西生菜,6.1
36,2016-02-06,西生菜,6.1
37,2016-02-07,西生菜,6.1
38,2016-02-08,西生菜,7.0
39,2016-02-09,西生菜,6.9
40,2016-02-10,西生菜,7.2
41,2016-02-11,西生菜,8.0
42,2016-02-12,西生菜,8.3
43,2016-02-13,西生菜,8.4
44,2016-02-14,西生菜,8.7
45,2016-02-15,西生菜,8.4
46,2016-02-16,西生菜,8.2
47,2016-02-17,西生菜,7.4
48,2016-02-18,西生菜,6.2
49,2016-02-19,西生菜,6.0
50,2016-02-20,西生菜,5.9
51,2016-02-21,西生菜,6.0
52,2016-02-22,西生菜,6.3
53,2016-02-23,西生菜,6.2
54,2016-02-24,西生菜,6.5
55,2016-02-25,西生菜,6.0
56,2016-02-26,西生菜,5.6
57,2016-02-27,西生菜,6.0
58,2016-02-28,西生菜,5.6
59,2016-02-29,西生菜,5.2
60,2016-03-01,西生菜,5.6
61,2016-03-02,西生菜,5.3
62,2016-03-03,西生菜,5.0
63,2016-03-04,西生菜,5.2
64,2016-03-05,西生菜,5.2
65,2016-03-06,西生菜,5.0
66,2016-03-07,西生菜,5.2
67,2016-03-08,西生菜,5.2
68,2016-03-09,西生菜,5.1
69,2016-03-10,西生菜,5.0
70,2016-03-11,西生菜,5.0
71,2016-03-12,西生菜,5.0
72,2016-03-13,西生菜,5.2
73,2016-03-14,西生菜,5.0
74,2016-03-15,西生菜,5.1
75,2016-03-16,西生菜,5.1
76,2016-03-17,西生菜,5.0
77,2016-03-18,西生菜,5.0
78,2016-03-19,西生菜,5.0
79,2016-03-20,西生菜,4.8
80,2016-03-21,西生菜,4.8
81,2016-03-22,西生菜,5.0
82,2016-03-23,西生菜,4.9
83,2016-03-24,西生菜,4.5
84,2016-03-25,西生菜,4.2
85,2016-03-26,西生菜,4.0
86,2016-03-27,西生菜,3.8
87,2016-03-28,西生菜,3.8
88,2016-03-29,西生菜,3.8
89,2016-03-30,西生菜,3.6
90,2016-03-31,西生菜,4.0
91,2016-04-01,西生菜,4.2
92,2016-04-02,西生菜,4.1
93,2016-04-03,西生菜,4.1
94,2016-04-04,西生菜,4.0
95,2016-04-05,西生菜,4.0
96,2016-04-06,西生菜,4.0
97,2016-04-07,西生菜,3.8
98,2016-04-08,西生菜,3.6
99,2016-04-09,西生菜,3.5
100,2016-04-10,西生菜,3.5
