,date,name,price
0,2016-01-01,西红柿,3.6
1,2016-01-02,西红柿,3.7
2,2016-01-03,西红柿,3.7
3,2016-01-04,西红柿,3.7
4,2016-01-05,西红柿,3.7
5,2016-01-06,西红柿,3.7
6,2016-01-07,西红柿,3.5
7,2016-01-08,西红柿,3.5
8,2016-01-09,西红柿,3.5
9,2016-01-10,西红柿,3.5
10,2016-01-11,西红柿,3.5
11,2016-01-12,西红柿,3.7
12,2016-01-13,西红柿,4.0
13,2016-01-14,西红柿,4.0
14,2016-01-15,西红柿,4.0
15,2016-01-16,西红柿,4.0
16,2016-01-17,西红柿,4.0
17,2016-01-18,西红柿,4.0
18,2016-01-19,西红柿,4.0
19,2016-01-20,西红柿,4.0
20,2016-01-21,西红柿,4.0
21,2016-01-22,西红柿,4.0
22,2016-01-23,西红柿,4.0
23,2016-01-24,西红柿,4.5
24,2016-01-25,西红柿,4.5
25,2016-01-26,西红柿,4.6
26,2016-01-27,西红柿,4.6
27,2016-01-28,西红柿,4.7
28,2016-01-29,西红柿,4.7
29,2016-01-30,西红柿,4.8
30,2016-01-31,西红柿,5.0
31,2016-02-01,西红柿,5.0
32,2016-02-02,西红柿,5.2
33,2016-02-03,西红柿,5.1
34,2016-02-04,西红柿,5.0
35,2016-02-05,西红柿,4.9
36,2016-02-06,西红柿,4.9
37,2016-02-07,西红柿,4.8
38,2016-02-08,西红柿,5.0
39,2016-02-09,西红柿,4.9
40,2016-02-10,西红柿,5.0
41,2016-02-11,西红柿,5.0
42,2016-02-12,西红柿,5.0
43,2016-02-13,西红柿,5.0
44,2016-02-14,西红柿,5.0
45,2016-02-15,西红柿,5.0
46,2016-02-16,西红柿,5.0
47,2016-02-17,西红柿,4.9
48,2016-02-18,西红柿,4.4
49,2016-02-19,西红柿,4.5
50,2016-02-20,西红柿,4.3
51,2016-02-21,西红柿,4.5
52,2016-02-22,西红柿,4.3
53,2016-02-23,西红柿,4.3
54,2016-02-24,西红柿,4.6
55,2016-02-25,西红柿,4.5
56,2016-02-26,西红柿,4.0
57,2016-02-27,西红柿,4.5
58,2016-02-28,西红柿,4.0
59,2016-02-29,西红柿,3.6
60,2016-03-01,西红柿,4.0
61,2016-03-02,西红柿,4.0
62,2016-03-03,西红柿,3.7
63,2016-03-04,西红柿,3.8
64,2016-03-05,西红柿,3.8
65,2016-03-06,西红柿,3.8
66,2016-03-07,西红柿,3.8
67,2016-03-08,西红柿,3.7
68,2016-03-09,西红柿,3.7
69,2016-03-10,西红柿,4.0
70,2016-03-11,西红柿,4.0
71,2016-03-12,西红柿,4.0
72,2016-03-13,西红柿,4.0
73,2016-03-14,西红柿,4.0
74,2016-03-15,西红柿,3.8
75,2016-03-16,西红柿,3.8
76,2016-03-17,西红柿,4.0
77,2016-03-18,西红柿,4.2
78,2016-03-19,西红柿,4.5
79,2016-03-20,西红柿,4.8
80,2016-03-21,西红柿,4.8
81,2016-03-22,西红柿,5.0
82,2016-03-23,西红柿,5.2
83,2016-03-24,西红柿,5.0
84,2016-03-25,西红柿,5.0
85,2016-03-26,西红柿,5.0
86,2016-03-27,西红柿,4.8
87,2016-03-28,西红柿,4.8
88,2016-03-29,西红柿,5.0
89,2016-03-30,西红柿,4.9
90,2016-03-31,西红柿,5.2
91,2016-04-01,西红柿,5.5
92,2016-04-02,西红柿,5.5
93,2016-04-03,西红柿,5.5
94,2016-04-04,西红柿,5.5
95,2016-04-05,西红柿,5.5
96,2016-04-06,西红柿,5.3
97,2016-04-07,西红柿,5.0
98,2016-04-08,西红柿,5.0
99,2016-04-09,西红柿,5.2
100,2016-04-10,西红柿,5.2
101,2016-04-11,西红柿,5.0
102,2016-04-12,西红柿,5.5
103,2016-04-13,西红柿,5.3
104,2016-04-14,西红柿,5.3
105,2016-04-15,西红柿,5.3
106,2016-04-16,西红柿,5.3
107,2016-04-17,西红柿,5.0
108,2016-04-18,西红柿,5.0
109,2016-04-19,西红柿,5.0
110,2016-04-20,西红柿,5.0
111,2016-04-21,西红柿,5.0
112,2016-04-22,西红柿,4.9
113,2016-04-23,西红柿,4.8
114,2016-04-24,西红柿,4.8
115,2016-04-25,西红柿,4.7
116,2016-04-26,西红柿,4.7
117,2016-04-27,西红柿,4.6
