,date,name,price
0,2016-01-01,西芹,2.1
1,2016-01-02,西芹,2.4
2,2016-01-03,西芹,2.5
3,2016-01-04,西芹,2.5
4,2016-01-05,西芹,2.5
5,2016-01-06,西芹,2.5
6,2016-01-07,西芹,2.5
7,2016-01-08,西芹,2.5
8,2016-01-09,西芹,2.5
9,2016-01-10,西芹,2.5
10,2016-01-11,西芹,2.5
11,2016-01-12,西芹,2.7
12,2016-01-13,西芹,2.7
13,2016-01-14,西芹,2.7
14,2016-01-15,西芹,2.7
15,2016-01-16,西芹,2.7
16,2016-01-17,西芹,2.7
17,2016-01-18,西芹,2.7
18,2016-01-19,西芹,2.7
19,2016-01-20,西芹,2.7
20,2016-01-21,西芹,2.5
21,2016-01-22,西芹,2.5
22,2016-01-23,西芹,2.5
23,2016-01-24,西芹,2.5
24,2016-01-25,西芹,2.5
25,2016-01-26,西芹,2.5
26,2016-01-27,西芹,2.5
27,2016-01-28,西芹,2.5
28,2016-01-29,西芹,2.6
29,2016-01-30,西芹,2.6
30,2016-01-31,西芹,2.7
31,2016-02-01,西芹,2.9
32,2016-02-02,西芹,3.0
33,2016-02-03,西芹,3.6
34,2016-02-04,西芹,3.7
35,2016-02-05,西芹,3.8
36,2016-02-06,西芹,3.9
37,2016-02-07,西芹,4.0
38,2016-02-08,西芹,4.5
39,2016-02-09,西芹,4.4
40,2016-02-10,西芹,4.0
41,2016-02-11,西芹,4.8
42,2016-02-12,西芹,5.0
43,2016-02-13,西芹,4.8
44,2016-02-14,西芹,4.7
45,2016-02-15,西芹,4.6
46,2016-02-16,西芹,4.4
47,2016-02-17,西芹,4.4
48,2016-02-18,西芹,4.6
49,2016-02-19,西芹,5.0
50,2016-02-20,西芹,5.2
51,2016-02-21,西芹,5.0
52,2016-02-22,西芹,5.1
53,2016-02-23,西芹,4.8
54,2016-02-24,西芹,4.6
55,2016-02-25,西芹,5.0
56,2016-02-26,西芹,4.0
57,2016-02-27,西芹,5.0
58,2016-02-28,西芹,4.0
59,2016-02-29,西芹,3.6
60,2016-03-01,西芹,4.0
61,2016-03-02,西芹,4.0
62,2016-03-03,西芹,5.3
63,2016-03-04,西芹,5.0
