,date,name,price
0,2016-01-01,金针菇,9.4
1,2016-01-02,金针菇,9.4
2,2016-01-03,金针菇,9.4
3,2016-01-04,金针菇,9.4
4,2016-01-05,金针菇,9.0
5,2016-01-06,金针菇,9.0
6,2016-01-07,金针菇,9.0
7,2016-01-08,金针菇,9.0
8,2016-01-09,金针菇,9.0
9,2016-01-10,金针菇,9.0
10,2016-01-11,金针菇,9.2
11,2016-01-12,金针菇,9.2
12,2016-01-13,金针菇,9.2
13,2016-01-14,金针菇,9.2
14,2016-01-15,金针菇,10.0
15,2016-01-16,金针菇,10.0
16,2016-01-17,金针菇,10.0
17,2016-01-18,金针菇,10.0
18,2016-01-19,金针菇,10.0
19,2016-01-20,金针菇,10.0
20,2016-01-21,金针菇,9.8
21,2016-01-22,金针菇,9.8
22,2016-01-23,金针菇,9.8
23,2016-01-24,金针菇,10.6
24,2016-01-25,金针菇,10.6
25,2016-01-26,金针菇,10.8
26,2016-01-27,金针菇,10.8
27,2016-01-28,金针菇,11.1
28,2016-01-29,金针菇,11.5
29,2016-01-30,金针菇,11.6
30,2016-01-31,金针菇,12.0
31,2016-02-01,金针菇,12.0
32,2016-02-02,金针菇,12.0
33,2016-02-03,金针菇,12.0
34,2016-02-04,金针菇,12.0
35,2016-02-05,金针菇,12.0
36,2016-02-06,金针菇,12.0
37,2016-02-07,金针菇,12.0
38,2016-02-08,金针菇,12.0
39,2016-02-09,金针菇,13.0
40,2016-02-10,金针菇,13.0
41,2016-02-11,金针菇,12.5
42,2016-02-12,金针菇,12.5
43,2016-02-13,金针菇,12.5
44,2016-02-14,金针菇,13.0
45,2016-02-15,金针菇,13.0
46,2016-02-16,金针菇,13.0
47,2016-02-17,金针菇,14.0
48,2016-02-18,金针菇,13.0
49,2016-02-19,金针菇,12.0
50,2016-02-20,金针菇,12.0
51,2016-02-21,金针菇,12.0
52,2016-02-22,金针菇,12.0
53,2016-02-23,金针菇,12.0
54,2016-02-24,金针菇,12.5
55,2016-02-25,金针菇,12.0
56,2016-02-26,金针菇,12.0
57,2016-02-27,金针菇,12.0
58,2016-02-28,金针菇,12.0
59,2016-02-29,金针菇,12.0
60,2016-03-01,金针菇,12.0
61,2016-03-02,金针菇,12.0
62,2016-03-03,金针菇,12.0
63,2016-03-04,金针菇,12.0
64,2016-03-05,金针菇,12.0
65,2016-03-06,金针菇,12.0
66,2016-03-07,金针菇,12.0
67,2016-03-08,金针菇,12.0
68,2016-03-09,金针菇,12.0
69,2016-03-10,金针菇,11.7
70,2016-03-11,金针菇,11.5
71,2016-03-12,金针菇,11.2
72,2016-03-13,金针菇,11.0
73,2016-03-14,金针菇,11.0
74,2016-03-15,金针菇,11.0
75,2016-03-16,金针菇,11.0
76,2016-03-17,金针菇,11.0
77,2016-03-18,金针菇,11.0
78,2016-03-19,金针菇,10.5
79,2016-03-20,金针菇,10.5
80,2016-03-21,金针菇,10.5
81,2016-03-22,金针菇,10.5
82,2016-03-23,金针菇,10.5
83,2016-03-24,金针菇,10.0
84,2016-03-25,金针菇,10.0
85,2016-03-26,金针菇,10.0
86,2016-03-27,金针菇,10.0
87,2016-03-28,金针菇,10.0
88,2016-03-29,金针菇,9.7
89,2016-03-30,金针菇,9.7
90,2016-03-31,金针菇,9.7
91,2016-04-01,金针菇,9.7
92,2016-04-02,金针菇,9.8
93,2016-04-03,金针菇,9.8
94,2016-04-04,金针菇,9.5
95,2016-04-05,金针菇,9.5
96,2016-04-06,金针菇,9.5
97,2016-04-07,金针菇,9.5
98,2016-04-08,金针菇,9.5
99,2016-04-09,金针菇,9.0
100,2016-04-10,金针菇,9.0
101,2016-04-11,金针菇,8.8
102,2016-04-12,金针菇,8.6
103,2016-04-13,金针菇,8.3
104,2016-04-14,金针菇,8.3
105,2016-04-15,金针菇,8.3
106,2016-04-16,金针菇,8.3
107,2016-04-17,金针菇,8.3
108,2016-04-18,金针菇,8.0
109,2016-04-19,金针菇,8.0
110,2016-04-20,金针菇,8.0
111,2016-04-21,金针菇,8.0
112,2016-04-22,金针菇,7.8
113,2016-04-23,金针菇,7.8
114,2016-04-24,金针菇,7.8
115,2016-04-25,金针菇,7.5
116,2016-04-26,金针菇,7.5
117,2016-04-27,金针菇,7.5
118,2016-04-28,金针菇,7.5
119,2016-04-29,金针菇,7.5
120,2016-04-30,金针菇,7.5
121,2016-05-01,金针菇,7.0
122,2016-05-02,金针菇,7.0
123,2016-05-03,金针菇,7.5
124,2016-05-04,金针菇,7.5
125,2016-05-05,金针菇,7.0
126,2016-05-06,金针菇,7.0
127,2016-05-07,金针菇,7.5
128,2016-05-08,金针菇,7.5
129,2016-05-09,金针菇,5.9
130,2016-05-10,金针菇,7.5
131,2016-05-11,金针菇,7.1
132,2016-05-12,金针菇,7.5
133,2016-05-13,金针菇,7.1
134,2016-05-14,金针菇,7.5
135,2016-05-15,金针菇,7.5
136,2016-05-16,金针菇,7.1
137,2016-05-17,金针菇,7.0
138,2016-05-18,金针菇,7.0
139,2016-05-19,金针菇,7.0
140,2016-05-20,金针菇,7.0
141,2016-05-21,金针菇,7.0
142,2016-05-22,金针菇,7.0
143,2016-05-23,金针菇,7.0
144,2016-05-24,金针菇,7.0
145,2016-05-25,金针菇,7.0
146,2016-05-26,金针菇,7.0
147,2016-05-27,金针菇,7.0
148,2016-05-28,金针菇,7.0
149,2016-05-29,金针菇,7.0
150,2016-05-30,金针菇,7.0
151,2016-05-31,金针菇,7.0
152,2016-06-01,金针菇,7.0
153,2016-06-02,金针菇,7.0
154,2016-06-03,金针菇,7.0
155,2016-06-04,金针菇,7.0
156,2016-06-05,金针菇,7.0
157,2016-06-06,金针菇,7.0
158,2016-06-07,金针菇,6.5
159,2016-06-08,金针菇,6.5
160,2016-06-09,金针菇,5.5
161,2016-06-10,金针菇,5.5
162,2016-06-11,金针菇,5.3
163,2016-06-12,金针菇,5.0
164,2016-06-13,金针菇,5.0
165,2016-06-14,金针菇,4.6
166,2016-06-15,金针菇,4.6
167,2016-06-16,金针菇,4.8
168,2016-06-17,金针菇,5.0
169,2016-06-18,金针菇,5.0
170,2016-06-19,金针菇,5.0
171,2016-06-20,金针菇,5.0
172,2016-06-21,金针菇,5.0
173,2016-06-22,金针菇,5.0
174,2016-06-23,金针菇,4.5
175,2016-06-24,金针菇,5.0
176,2016-06-25,金针菇,5.0
177,2016-06-26,金针菇,5.0
178,2016-06-27,金针菇,5.0
179,2016-06-28,金针菇,5.0
180,2016-06-29,金针菇,5.0
181,2016-06-30,金针菇,5.0
182,2016-07-01,金针菇,5.2
183,2016-07-02,金针菇,5.2
184,2016-07-03,金针菇,5.2
185,2016-07-04,金针菇,5.2
186,2016-07-05,金针菇,5.2
187,2016-07-06,金针菇,5.2
188,2016-07-07,金针菇,5.2
189,2016-07-08,金针菇,5.2
190,2016-07-09,金针菇,5.0
191,2016-07-10,金针菇,5.0
192,2016-07-11,金针菇,5.0
193,2016-07-12,金针菇,5.0
194,2016-07-13,金针菇,5.0
195,2016-07-14,金针菇,5.0
196,2016-07-15,金针菇,5.0
197,2016-07-16,金针菇,5.0
198,2016-07-17,金针菇,5.0
199,2016-07-18,金针菇,5.0
200,2016-07-19,金针菇,5.0
201,2016-07-20,金针菇,5.0
202,2016-07-21,金针菇,5.0
203,2016-07-22,金针菇,5.0
204,2016-07-23,金针菇,5.0
205,2016-07-24,金针菇,5.0
206,2016-07-25,金针菇,5.0
207,2016-07-26,金针菇,5.0
208,2016-07-27,金针菇,5.0
