,date,name,price
0,2016-01-01,青尖椒,2.4
1,2016-01-02,青尖椒,2.4
2,2016-01-03,青尖椒,2.4
3,2016-01-04,青尖椒,2.4
4,2016-01-05,青尖椒,2.4
5,2016-01-06,青尖椒,2.4
6,2016-01-07,青尖椒,2.4
7,2016-01-08,青尖椒,2.2
8,2016-01-09,青尖椒,2.2
9,2016-01-10,青尖椒,2.2
10,2016-01-11,青尖椒,2.2
11,2016-01-12,青尖椒,2.2
12,2016-01-13,青尖椒,2.2
13,2016-01-14,青尖椒,2.2
14,2016-01-15,青尖椒,2.2
15,2016-01-16,青尖椒,2.2
16,2016-01-17,青尖椒,2.2
17,2016-01-18,青尖椒,2.2
18,2016-01-19,青尖椒,2.2
19,2016-01-20,青尖椒,2.2
20,2016-01-21,青尖椒,2.2
21,2016-01-22,青尖椒,2.2
22,2016-01-23,青尖椒,2.1
23,2016-01-24,青尖椒,2.5
24,2016-01-25,青尖椒,2.5
25,2016-01-26,青尖椒,2.5
26,2016-01-27,青尖椒,2.5
27,2016-01-28,青尖椒,2.5
28,2016-01-29,青尖椒,2.5
29,2016-01-30,青尖椒,2.5
30,2016-01-31,青尖椒,2.5
31,2016-02-01,青尖椒,2.5
32,2016-02-02,青尖椒,3.0
33,2016-02-03,青尖椒,3.3
34,2016-02-04,青尖椒,3.3
35,2016-02-05,青尖椒,3.3
36,2016-02-06,青尖椒,3.3
37,2016-02-07,青尖椒,3.3
38,2016-02-08,青尖椒,4.8
39,2016-02-09,青尖椒,4.7
40,2016-02-10,青尖椒,5.0
41,2016-02-11,青尖椒,4.5
42,2016-02-12,青尖椒,4.5
43,2016-02-13,青尖椒,4.5
44,2016-02-14,青尖椒,4.4
45,2016-02-15,青尖椒,4.3
46,2016-02-16,青尖椒,4.2
47,2016-02-17,青尖椒,4.1
48,2016-02-18,青尖椒,3.8
49,2016-02-19,青尖椒,3.6
50,2016-02-20,青尖椒,4.0
51,2016-02-21,青尖椒,3.6
52,2016-02-22,青尖椒,3.8
53,2016-02-23,青尖椒,4.0
54,2016-02-24,青尖椒,4.2
55,2016-02-25,青尖椒,4.5
56,2016-02-26,青尖椒,4.0
57,2016-02-27,青尖椒,4.5
58,2016-02-28,青尖椒,4.0
59,2016-02-29,青尖椒,3.9
60,2016-03-01,青尖椒,4.0
61,2016-03-02,青尖椒,3.8
62,2016-03-03,青尖椒,4.0
63,2016-03-04,青尖椒,4.3
64,2016-03-05,青尖椒,4.4
65,2016-03-06,青尖椒,4.4
66,2016-03-07,青尖椒,4.4
67,2016-03-08,青尖椒,4.7
68,2016-03-09,青尖椒,4.8
69,2016-03-10,青尖椒,5.0
70,2016-03-11,青尖椒,5.0
71,2016-03-12,青尖椒,5.2
72,2016-03-13,青尖椒,5.5
73,2016-03-14,青尖椒,5.7
74,2016-03-15,青尖椒,6.0
75,2016-03-16,青尖椒,6.2
76,2016-03-17,青尖椒,6.5
77,2016-03-18,青尖椒,6.8
78,2016-03-19,青尖椒,7.0
79,2016-03-20,青尖椒,7.2
80,2016-03-21,青尖椒,7.3
81,2016-03-22,青尖椒,7.5
82,2016-03-23,青尖椒,7.7
83,2016-03-24,青尖椒,7.9
84,2016-03-25,青尖椒,8.0
85,2016-03-26,青尖椒,8.2
86,2016-03-27,青尖椒,8.2
87,2016-03-28,青尖椒,8.2
88,2016-03-29,青尖椒,8.3
89,2016-03-30,青尖椒,8.2
90,2016-03-31,青尖椒,8.0
91,2016-04-01,青尖椒,8.0
92,2016-04-02,青尖椒,7.9
93,2016-04-03,青尖椒,7.9
94,2016-04-04,青尖椒,7.9
95,2016-04-05,青尖椒,7.9
96,2016-04-06,青尖椒,7.0
97,2016-04-07,青尖椒,6.5
98,2016-04-08,青尖椒,6.5
99,2016-04-09,青尖椒,6.2
100,2016-04-10,青尖椒,6.2
101,2016-04-11,青尖椒,6.0
102,2016-04-12,青尖椒,6.0
103,2016-04-13,青尖椒,6.2
104,2016-04-14,青尖椒,6.0
105,2016-04-15,青尖椒,6.0
