,date,name,price
0,2016-01-01,青瓜,3.8
1,2016-01-02,青瓜,3.6
2,2016-01-03,青瓜,3.3
3,2016-01-04,青瓜,3.3
4,2016-01-05,青瓜,3.2
5,2016-01-06,青瓜,3.5
6,2016-01-07,青瓜,3.5
7,2016-01-08,青瓜,3.5
8,2016-01-09,青瓜,3.5
9,2016-01-10,青瓜,3.5
10,2016-01-11,青瓜,3.5
11,2016-01-12,青瓜,3.5
12,2016-01-13,青瓜,3.5
13,2016-01-14,青瓜,3.3
14,2016-01-15,青瓜,3.3
15,2016-01-16,青瓜,3.3
16,2016-01-17,青瓜,3.3
17,2016-01-18,青瓜,3.3
18,2016-01-19,青瓜,3.3
19,2016-01-20,青瓜,3.3
20,2016-01-21,青瓜,3.3
21,2016-01-22,青瓜,3.5
22,2016-01-23,青瓜,3.5
23,2016-01-24,青瓜,4.5
24,2016-01-25,青瓜,4.5
25,2016-01-26,青瓜,4.8
26,2016-01-27,青瓜,4.8
27,2016-01-28,青瓜,4.9
28,2016-01-29,青瓜,5.1
29,2016-01-30,青瓜,5.2
30,2016-01-31,青瓜,5.3
31,2016-02-01,青瓜,5.5
32,2016-02-02,青瓜,5.6
33,2016-02-03,青瓜,6.0
34,2016-02-04,青瓜,6.2
35,2016-02-05,青瓜,6.3
36,2016-02-06,青瓜,6.5
37,2016-02-07,青瓜,6.7
38,2016-02-08,青瓜,8.0
39,2016-02-09,青瓜,7.9
40,2016-02-10,青瓜,7.5
41,2016-02-11,青瓜,8.0
42,2016-02-12,青瓜,8.0
43,2016-02-13,青瓜,7.8
44,2016-02-14,青瓜,7.9
45,2016-02-15,青瓜,7.5
46,2016-02-16,青瓜,7.0
47,2016-02-17,青瓜,6.9
48,2016-02-18,青瓜,6.5
49,2016-02-19,青瓜,6.7
50,2016-02-20,青瓜,6.5
51,2016-02-21,青瓜,6.7
52,2016-02-22,青瓜,6.4
53,2016-02-23,青瓜,6.5
54,2016-02-24,青瓜,6.6
55,2016-02-25,青瓜,6.5
56,2016-02-26,青瓜,6.0
