,date,name,price
0,2016-01-01,青皮冬瓜,1.3
1,2016-01-02,青皮冬瓜,1.4
2,2016-01-03,青皮冬瓜,1.4
3,2016-01-04,青皮冬瓜,1.4
4,2016-01-05,青皮冬瓜,1.4
5,2016-01-06,青皮冬瓜,1.4
6,2016-01-07,青皮冬瓜,1.4
7,2016-01-08,青皮冬瓜,1.4
8,2016-01-09,青皮冬瓜,1.4
9,2016-01-10,青皮冬瓜,1.4
10,2016-01-11,青皮冬瓜,1.4
11,2016-01-12,青皮冬瓜,1.4
12,2016-01-13,青皮冬瓜,1.4
13,2016-01-14,青皮冬瓜,1.4
14,2016-01-15,青皮冬瓜,1.4
15,2016-01-16,青皮冬瓜,1.4
16,2016-01-17,青皮冬瓜,1.4
17,2016-01-18,青皮冬瓜,1.4
18,2016-01-19,青皮冬瓜,1.4
19,2016-01-20,青皮冬瓜,1.4
20,2016-01-21,青皮冬瓜,1.4
21,2016-01-22,青皮冬瓜,1.4
22,2016-01-23,青皮冬瓜,1.4
23,2016-01-24,青皮冬瓜,1.5
24,2016-01-25,青皮冬瓜,1.5
25,2016-01-26,青皮冬瓜,1.5
26,2016-01-27,青皮冬瓜,1.5
27,2016-01-28,青皮冬瓜,1.5
28,2016-01-29,青皮冬瓜,1.5
29,2016-01-30,青皮冬瓜,1.5
30,2016-01-31,青皮冬瓜,1.4
31,2016-02-01,青皮冬瓜,1.4
32,2016-02-02,青皮冬瓜,1.4
33,2016-02-03,青皮冬瓜,1.4
34,2016-02-04,青皮冬瓜,1.4
35,2016-02-05,青皮冬瓜,1.4
36,2016-02-06,青皮冬瓜,1.4
37,2016-02-07,青皮冬瓜,1.4
38,2016-02-08,青皮冬瓜,1.8
39,2016-02-09,青皮冬瓜,1.7
40,2016-02-10,青皮冬瓜,1.5
41,2016-02-11,青皮冬瓜,1.3
42,2016-02-12,青皮冬瓜,1.5
43,2016-02-13,青皮冬瓜,1.5
44,2016-02-14,青皮冬瓜,1.6
45,2016-02-15,青皮冬瓜,1.6
46,2016-02-16,青皮冬瓜,1.7
47,2016-02-17,青皮冬瓜,1.8
48,2016-02-18,青皮冬瓜,1.6
49,2016-02-19,青皮冬瓜,1.7
50,2016-02-20,青皮冬瓜,1.8
51,2016-02-21,青皮冬瓜,1.7
52,2016-02-22,青皮冬瓜,1.7
53,2016-02-23,青皮冬瓜,1.8
54,2016-02-24,青皮冬瓜,1.9
55,2016-02-25,青皮冬瓜,2.0
56,2016-02-26,青皮冬瓜,2.3
57,2016-02-27,青皮冬瓜,2.0
58,2016-02-28,青皮冬瓜,2.3
59,2016-02-29,青皮冬瓜,2.4
60,2016-03-01,青皮冬瓜,2.3
61,2016-03-02,青皮冬瓜,2.4
62,2016-03-03,青皮冬瓜,2.6
63,2016-03-04,青皮冬瓜,2.9
64,2016-03-05,青皮冬瓜,2.9
65,2016-03-06,青皮冬瓜,2.9
66,2016-03-07,青皮冬瓜,2.9
67,2016-03-08,青皮冬瓜,3.0
68,2016-03-09,青皮冬瓜,3.0
69,2016-03-10,青皮冬瓜,3.1
70,2016-03-11,青皮冬瓜,3.1
71,2016-03-12,青皮冬瓜,3.1
72,2016-03-13,青皮冬瓜,3.0
73,2016-03-14,青皮冬瓜,3.0
74,2016-03-15,青皮冬瓜,3.1
75,2016-03-16,青皮冬瓜,3.1
76,2016-03-17,青皮冬瓜,3.2
77,2016-03-18,青皮冬瓜,3.4
78,2016-03-19,青皮冬瓜,3.0
79,2016-03-20,青皮冬瓜,3.2
80,2016-03-21,青皮冬瓜,3.3
81,2016-03-22,青皮冬瓜,3.3
82,2016-03-23,青皮冬瓜,3.3
83,2016-03-24,青皮冬瓜,3.3
84,2016-03-25,青皮冬瓜,3.4
85,2016-03-26,青皮冬瓜,3.4
86,2016-03-27,青皮冬瓜,3.3
87,2016-03-28,青皮冬瓜,3.4
88,2016-03-29,青皮冬瓜,3.4
89,2016-03-30,青皮冬瓜,3.3
90,2016-03-31,青皮冬瓜,3.5
91,2016-04-01,青皮冬瓜,3.5
92,2016-04-02,青皮冬瓜,3.5
93,2016-04-03,青皮冬瓜,3.5
94,2016-04-04,青皮冬瓜,3.5
95,2016-04-05,青皮冬瓜,3.5
96,2016-04-06,青皮冬瓜,3.5
97,2016-04-07,青皮冬瓜,4.2
98,2016-04-08,青皮冬瓜,4.5
99,2016-04-09,青皮冬瓜,4.5
100,2016-04-10,青皮冬瓜,5.0
101,2016-04-11,青皮冬瓜,4.7
102,2016-04-12,青皮冬瓜,5.5
103,2016-04-13,青皮冬瓜,6.0
104,2016-04-14,青皮冬瓜,6.5
105,2016-04-15,青皮冬瓜,6.8
106,2016-04-16,青皮冬瓜,7.3
107,2016-04-17,青皮冬瓜,7.8
108,2016-04-18,青皮冬瓜,8.5
109,2016-04-19,青皮冬瓜,8.5
110,2016-04-20,青皮冬瓜,8.5
111,2016-04-21,青皮冬瓜,8.0
112,2016-04-22,青皮冬瓜,7.6
113,2016-04-23,青皮冬瓜,7.2
114,2016-04-24,青皮冬瓜,7.1
115,2016-04-25,青皮冬瓜,7.0
116,2016-04-26,青皮冬瓜,6.5
117,2016-04-27,青皮冬瓜,6.2
118,2016-04-28,青皮冬瓜,5.5
119,2016-04-29,青皮冬瓜,5.0
120,2016-04-30,青皮冬瓜,4.8
121,2016-05-01,青皮冬瓜,4.3
122,2016-05-02,青皮冬瓜,4.3
123,2016-05-03,青皮冬瓜,4.5
124,2016-05-04,青皮冬瓜,4.8
125,2016-05-05,青皮冬瓜,4.3
126,2016-05-06,青皮冬瓜,4.3
127,2016-05-07,青皮冬瓜,3.8
128,2016-05-08,青皮冬瓜,3.8
129,2016-05-09,青皮冬瓜,4.3
130,2016-05-10,青皮冬瓜,3.9
131,2016-05-11,青皮冬瓜,3.8
132,2016-05-12,青皮冬瓜,3.9
133,2016-05-13,青皮冬瓜,3.8
134,2016-05-14,青皮冬瓜,3.9
135,2016-05-15,青皮冬瓜,3.7
136,2016-05-16,青皮冬瓜,3.8
137,2016-05-17,青皮冬瓜,3.6
138,2016-05-18,青皮冬瓜,3.5
139,2016-05-19,青皮冬瓜,2.8
140,2016-05-20,青皮冬瓜,2.2
141,2016-05-21,青皮冬瓜,2.0
142,2016-05-22,青皮冬瓜,2.0
143,2016-05-23,青皮冬瓜,2.2
144,2016-05-24,青皮冬瓜,2.0
145,2016-05-25,青皮冬瓜,1.9
146,2016-05-26,青皮冬瓜,1.9
147,2016-05-27,青皮冬瓜,1.9
148,2016-05-28,青皮冬瓜,1.9
149,2016-05-29,青皮冬瓜,1.9
150,2016-05-30,青皮冬瓜,1.9
151,2016-05-31,青皮冬瓜,1.9
152,2016-06-01,青皮冬瓜,1.9
153,2016-06-02,青皮冬瓜,1.7
154,2016-06-03,青皮冬瓜,1.6
155,2016-06-04,青皮冬瓜,1.5
156,2016-06-05,青皮冬瓜,1.5
157,2016-06-06,青皮冬瓜,1.4
158,2016-06-07,青皮冬瓜,1.2
159,2016-06-08,青皮冬瓜,1.1
160,2016-06-09,青皮冬瓜,1.1
161,2016-06-10,青皮冬瓜,1.2
162,2016-06-11,青皮冬瓜,1.2
163,2016-06-12,青皮冬瓜,1.2
164,2016-06-13,青皮冬瓜,1.1
165,2016-06-14,青皮冬瓜,1.1
166,2016-06-15,青皮冬瓜,1.1
167,2016-06-16,青皮冬瓜,1.1
168,2016-06-17,青皮冬瓜,1.1
169,2016-06-18,青皮冬瓜,1.0
170,2016-06-19,青皮冬瓜,1.0
171,2016-06-20,青皮冬瓜,1.0
172,2016-06-21,青皮冬瓜,0.9
173,2016-06-22,青皮冬瓜,0.9
174,2016-06-23,青皮冬瓜,0.9
175,2016-06-24,青皮冬瓜,0.9
176,2016-06-25,青皮冬瓜,1.0
177,2016-06-26,青皮冬瓜,1.0
178,2016-06-27,青皮冬瓜,1.0
179,2016-06-28,青皮冬瓜,1.0
180,2016-06-29,青皮冬瓜,1.0
181,2016-06-30,青皮冬瓜,0.8
182,2016-07-01,青皮冬瓜,0.8
183,2016-07-02,青皮冬瓜,0.8
184,2016-07-03,青皮冬瓜,0.8
185,2016-07-04,青皮冬瓜,0.8
186,2016-07-05,青皮冬瓜,0.8
187,2016-07-06,青皮冬瓜,0.8
188,2016-07-07,青皮冬瓜,0.8
189,2016-07-08,青皮冬瓜,0.8
190,2016-07-09,青皮冬瓜,0.8
191,2016-07-10,青皮冬瓜,0.8
192,2016-07-11,青皮冬瓜,0.8
193,2016-07-12,青皮冬瓜,0.8
194,2016-07-13,青皮冬瓜,0.8
195,2016-07-14,青皮冬瓜,0.8
196,2016-07-15,青皮冬瓜,0.8
197,2016-07-16,青皮冬瓜,0.8
198,2016-07-17,青皮冬瓜,0.9
199,2016-07-18,青皮冬瓜,0.9
200,2016-07-19,青皮冬瓜,0.9
201,2016-07-20,青皮冬瓜,0.9
202,2016-07-21,青皮冬瓜,0.9
203,2016-07-22,青皮冬瓜,0.9
204,2016-07-23,青皮冬瓜,0.8
205,2016-07-24,青皮冬瓜,0.7
206,2016-07-25,青皮冬瓜,0.7
207,2016-07-26,青皮冬瓜,0.7
