,date,name,price
0,2016-01-01,韭菜,7.0
1,2016-01-02,韭菜,7.0
2,2016-01-03,韭菜,7.0
3,2016-01-04,韭菜,7.0
4,2016-01-05,韭菜,7.0
5,2016-01-06,韭菜,7.0
6,2016-01-07,韭菜,7.0
7,2016-01-08,韭菜,7.0
8,2016-01-09,韭菜,7.0
9,2016-01-10,韭菜,7.0
10,2016-01-11,韭菜,7.0
11,2016-01-12,韭菜,7.0
12,2016-01-13,韭菜,7.0
13,2016-01-14,韭菜,7.0
14,2016-01-15,韭菜,6.6
15,2016-01-16,韭菜,6.6
16,2016-01-17,韭菜,6.5
17,2016-01-18,韭菜,6.5
18,2016-01-19,韭菜,6.5
19,2016-01-20,韭菜,6.3
20,2016-01-21,韭菜,6.2
21,2016-01-22,韭菜,6.2
22,2016-01-23,韭菜,6.1
23,2016-01-24,韭菜,6.1
24,2016-01-25,韭菜,6.1
25,2016-01-26,韭菜,6.1
26,2016-01-27,韭菜,6.4
27,2016-01-28,韭菜,6.6
28,2016-01-29,韭菜,6.9
29,2016-01-30,韭菜,7.0
30,2016-01-31,韭菜,7.0
31,2016-02-01,韭菜,7.0
32,2016-02-02,韭菜,7.0
33,2016-02-03,韭菜,7.0
34,2016-02-04,韭菜,7.0
35,2016-02-05,韭菜,7.1
36,2016-02-06,韭菜,7.1
37,2016-02-07,韭菜,7.2
38,2016-02-08,韭菜,7.5
39,2016-02-09,韭菜,7.6
40,2016-02-10,韭菜,7.0
41,2016-02-11,韭菜,7.0
42,2016-02-12,韭菜,7.0
43,2016-02-13,韭菜,7.7
44,2016-02-14,韭菜,8.0
45,2016-02-15,韭菜,8.0
46,2016-02-16,韭菜,8.0
47,2016-02-17,韭菜,8.0
48,2016-02-18,韭菜,8.0
49,2016-02-19,韭菜,8.2
50,2016-02-20,韭菜,8.5
51,2016-02-21,韭菜,8.2
52,2016-02-22,韭菜,8.5
53,2016-02-23,韭菜,8.5
54,2016-02-24,韭菜,8.0
55,2016-02-25,韭菜,8.0
56,2016-02-26,韭菜,8.0
57,2016-02-27,韭菜,8.0
58,2016-02-28,韭菜,8.0
59,2016-02-29,韭菜,7.6
60,2016-03-01,韭菜,8.0
61,2016-03-02,韭菜,8.0
62,2016-03-03,韭菜,8.0
63,2016-03-04,韭菜,8.0
64,2016-03-05,韭菜,8.0
65,2016-03-06,韭菜,8.0
66,2016-03-07,韭菜,8.0
67,2016-03-08,韭菜,7.7
68,2016-03-09,韭菜,7.7
69,2016-03-10,韭菜,7.4
70,2016-03-11,韭菜,7.2
71,2016-03-12,韭菜,7.0
72,2016-03-13,韭菜,7.0
73,2016-03-14,韭菜,7.0
74,2016-03-15,韭菜,7.0
