,date,name,price
0,2016-01-01,韭菜花,18.0
1,2016-01-02,韭菜花,18.2
2,2016-01-03,韭菜花,18.2
3,2016-01-04,韭菜花,18.0
4,2016-01-05,韭菜花,18.0
5,2016-01-06,韭菜花,16.0
6,2016-01-07,韭菜花,16.0
7,2016-01-08,韭菜花,16.0
8,2016-01-09,韭菜花,16.0
9,2016-01-10,韭菜花,16.0
10,2016-01-11,韭菜花,16.0
11,2016-01-12,韭菜花,16.0
12,2016-01-13,韭菜花,14.0
13,2016-01-14,韭菜花,12.0
14,2016-01-15,韭菜花,12.0
15,2016-01-16,韭菜花,12.0
16,2016-01-17,韭菜花,12.0
17,2016-01-18,韭菜花,12.0
18,2016-01-19,韭菜花,12.3
19,2016-01-20,韭菜花,12.5
20,2016-01-21,韭菜花,12.7
21,2016-01-22,韭菜花,13.0
22,2016-01-23,韭菜花,13.2
23,2016-01-24,韭菜花,16.0
24,2016-01-25,韭菜花,16.0
25,2016-01-26,韭菜花,16.5
26,2016-01-27,韭菜花,17.2
27,2016-01-28,韭菜花,17.5
28,2016-01-29,韭菜花,17.8
29,2016-01-30,韭菜花,18.0
30,2016-01-31,韭菜花,20.0
31,2016-02-01,韭菜花,20.0
32,2016-02-02,韭菜花,22.0
33,2016-02-03,韭菜花,23.0
34,2016-02-04,韭菜花,23.5
35,2016-02-05,韭菜花,24.0
36,2016-02-06,韭菜花,24.5
37,2016-02-07,韭菜花,25.0
38,2016-02-08,韭菜花,26.0
39,2016-02-09,韭菜花,26.2
40,2016-02-10,韭菜花,26.0
41,2016-02-11,韭菜花,25.0
42,2016-02-12,韭菜花,25.0
43,2016-02-13,韭菜花,25.0
44,2016-02-14,韭菜花,25.0
45,2016-02-15,韭菜花,25.0
46,2016-02-16,韭菜花,25.0
47,2016-02-17,韭菜花,25.0
48,2016-02-18,韭菜花,23.0
49,2016-02-19,韭菜花,22.0
50,2016-02-20,韭菜花,22.0
51,2016-02-21,韭菜花,22.0
52,2016-02-22,韭菜花,22.0
53,2016-02-23,韭菜花,23.0
54,2016-02-24,韭菜花,24.0
55,2016-02-25,韭菜花,24.0
56,2016-02-26,韭菜花,25.0
57,2016-02-27,韭菜花,26.0
58,2016-02-28,韭菜花,26.0
59,2016-02-29,韭菜花,28.0
60,2016-03-01,韭菜花,27.0
61,2016-03-02,韭菜花,27.5
62,2016-03-03,韭菜花,27.8
63,2016-03-04,韭菜花,28.0
64,2016-03-05,韭菜花,27.5
65,2016-03-06,韭菜花,27.5
66,2016-03-07,韭菜花,27.5
67,2016-03-08,韭菜花,27.1
68,2016-03-09,韭菜花,26.8
69,2016-03-10,韭菜花,25.7
70,2016-03-11,韭菜花,24.8
71,2016-03-12,韭菜花,23.8
72,2016-03-13,韭菜花,21.5
73,2016-03-14,韭菜花,20.7
74,2016-03-15,韭菜花,20.0
75,2016-03-16,韭菜花,20.0
76,2016-03-17,韭菜花,20.0
77,2016-03-18,韭菜花,20.0
78,2016-03-19,韭菜花,20.0
79,2016-03-20,韭菜花,20.0
80,2016-03-21,韭菜花,20.0
81,2016-03-22,韭菜花,20.0
82,2016-03-23,韭菜花,20.0
83,2016-03-24,韭菜花,19.0
84,2016-03-25,韭菜花,18.0
85,2016-03-26,韭菜花,17.5
86,2016-03-27,韭菜花,17.0
87,2016-03-28,韭菜花,16.8
88,2016-03-29,韭菜花,16.5
89,2016-03-30,韭菜花,16.0
90,2016-03-31,韭菜花,15.5
91,2016-04-01,韭菜花,15.0
92,2016-04-02,韭菜花,14.5
93,2016-04-03,韭菜花,14.5
94,2016-04-04,韭菜花,14.5
95,2016-04-05,韭菜花,14.5
96,2016-04-06,韭菜花,14.0
97,2016-04-07,韭菜花,14.0
98,2016-04-08,韭菜花,14.0
99,2016-04-09,韭菜花,12.5
100,2016-04-10,韭菜花,12.5
101,2016-04-11,韭菜花,12.3
102,2016-04-12,韭菜花,12.0
103,2016-04-13,韭菜花,12.0
104,2016-04-14,韭菜花,12.0
105,2016-04-15,韭菜花,12.0
106,2016-04-16,韭菜花,12.0
107,2016-04-17,韭菜花,12.0
108,2016-04-18,韭菜花,11.8
109,2016-04-19,韭菜花,11.8
110,2016-04-20,韭菜花,11.8
111,2016-04-21,韭菜花,11.8
112,2016-04-22,韭菜花,11.5
113,2016-04-23,韭菜花,11.5
114,2016-04-24,韭菜花,11.5
115,2016-04-25,韭菜花,11.5
116,2016-04-26,韭菜花,11.5
117,2016-04-27,韭菜花,11.5
118,2016-04-28,韭菜花,11.5
119,2016-04-29,韭菜花,11.5
120,2016-04-30,韭菜花,11.5
121,2016-05-01,韭菜花,11.3
122,2016-05-02,韭菜花,11.3
123,2016-05-03,韭菜花,11.5
124,2016-05-04,韭菜花,11.5
125,2016-05-05,韭菜花,11.3
126,2016-05-06,韭菜花,11.3
127,2016-05-07,韭菜花,11.5
128,2016-05-08,韭菜花,11.6
129,2016-05-09,韭菜花,11.3
130,2016-05-10,韭菜花,11.5
131,2016-05-11,韭菜花,11.6
132,2016-05-12,韭菜花,11.5
133,2016-05-13,韭菜花,11.6
134,2016-05-14,韭菜花,11.5
135,2016-05-15,韭菜花,11.2
136,2016-05-16,韭菜花,11.6
137,2016-05-17,韭菜花,11.0
138,2016-05-18,韭菜花,10.6
139,2016-05-19,韭菜花,10.6
140,2016-05-20,韭菜花,10.6
141,2016-05-21,韭菜花,10.6
142,2016-05-22,韭菜花,10.6
143,2016-05-23,韭菜花,10.6
144,2016-05-24,韭菜花,9.6
145,2016-05-25,韭菜花,9.0
146,2016-05-26,韭菜花,8.0
147,2016-05-27,韭菜花,8.0
148,2016-05-28,韭菜花,7.6
149,2016-05-29,韭菜花,7.6
