,date,name,price
0,2016-01-01,韭黄,12.6
1,2016-01-02,韭黄,12.8
2,2016-01-03,韭黄,12.8
3,2016-01-04,韭黄,12.8
4,2016-01-05,韭黄,12.8
5,2016-01-06,韭黄,12.8
6,2016-01-07,韭黄,12.8
7,2016-01-08,韭黄,12.8
8,2016-01-09,韭黄,12.8
9,2016-01-10,韭黄,12.8
10,2016-01-11,韭黄,12.8
11,2016-01-12,韭黄,12.8
12,2016-01-13,韭黄,11.6
13,2016-01-14,韭黄,10.6
14,2016-01-15,韭黄,10.0
15,2016-01-16,韭黄,10.0
16,2016-01-17,韭黄,10.0
17,2016-01-18,韭黄,10.0
18,2016-01-19,韭黄,10.2
19,2016-01-20,韭黄,10.4
20,2016-01-21,韭黄,10.6
21,2016-01-22,韭黄,10.8
22,2016-01-23,韭黄,10.8
23,2016-01-24,韭黄,11.0
24,2016-01-25,韭黄,11.0
25,2016-01-26,韭黄,11.3
26,2016-01-27,韭黄,11.8
27,2016-01-28,韭黄,11.8
28,2016-01-29,韭黄,11.8
29,2016-01-30,韭黄,11.8
30,2016-01-31,韭黄,11.8
31,2016-02-01,韭黄,11.8
32,2016-02-02,韭黄,13.0
33,2016-02-03,韭黄,13.5
34,2016-02-04,韭黄,13.8
35,2016-02-05,韭黄,14.1
36,2016-02-06,韭黄,14.3
37,2016-02-07,韭黄,14.6
38,2016-02-08,韭黄,15.0
39,2016-02-09,韭黄,15.1
40,2016-02-10,韭黄,15.0
41,2016-02-11,韭黄,16.0
42,2016-02-12,韭黄,16.0
43,2016-02-13,韭黄,16.0
44,2016-02-14,韭黄,16.0
45,2016-02-15,韭黄,16.0
46,2016-02-16,韭黄,16.0
47,2016-02-17,韭黄,16.0
48,2016-02-18,韭黄,14.0
49,2016-02-19,韭黄,14.0
50,2016-02-20,韭黄,14.0
51,2016-02-21,韭黄,14.0
52,2016-02-22,韭黄,14.0
53,2016-02-23,韭黄,14.0
54,2016-02-24,韭黄,13.5
55,2016-02-25,韭黄,14.0
56,2016-02-26,韭黄,14.0
57,2016-02-27,韭黄,14.0
58,2016-02-28,韭黄,14.0
59,2016-02-29,韭黄,14.5
60,2016-03-01,韭黄,14.0
61,2016-03-02,韭黄,13.7
62,2016-03-03,韭黄,14.0
63,2016-03-04,韭黄,14.0
64,2016-03-05,韭黄,14.0
65,2016-03-06,韭黄,14.0
66,2016-03-07,韭黄,14.0
67,2016-03-08,韭黄,13.7
68,2016-03-09,韭黄,11.5
69,2016-03-10,韭黄,11.3
70,2016-03-11,韭黄,11.0
71,2016-03-12,韭黄,10.7
72,2016-03-13,韭黄,10.0
73,2016-03-14,韭黄,9.8
74,2016-03-15,韭黄,10.0
75,2016-03-16,韭黄,10.0
76,2016-03-17,韭黄,10.0
77,2016-03-18,韭黄,10.0
78,2016-03-19,韭黄,10.0
79,2016-03-20,韭黄,9.8
80,2016-03-21,韭黄,9.9
81,2016-03-22,韭黄,9.9
82,2016-03-23,韭黄,9.9
83,2016-03-24,韭黄,9.5
84,2016-03-25,韭黄,9.0
85,2016-03-26,韭黄,9.0
86,2016-03-27,韭黄,9.0
87,2016-03-28,韭黄,9.0
88,2016-03-29,韭黄,9.0
89,2016-03-30,韭黄,9.0
90,2016-03-31,韭黄,8.8
91,2016-04-01,韭黄,8.4
92,2016-04-02,韭黄,8.4
93,2016-04-03,韭黄,8.4
94,2016-04-04,韭黄,8.5
95,2016-04-05,韭黄,8.5
96,2016-04-06,韭黄,8.3
97,2016-04-07,韭黄,8.3
98,2016-04-08,韭黄,8.3
99,2016-04-09,韭黄,8.5
100,2016-04-10,韭黄,8.5
101,2016-04-11,韭黄,8.5
102,2016-04-12,韭黄,8.5
103,2016-04-13,韭黄,8.9
104,2016-04-14,韭黄,8.3
105,2016-04-15,韭黄,8.0
106,2016-04-16,韭黄,8.0
107,2016-04-17,韭黄,7.8
108,2016-04-18,韭黄,7.8
109,2016-04-19,韭黄,8.2
110,2016-04-20,韭黄,8.2
111,2016-04-21,韭黄,8.2
112,2016-04-22,韭黄,8.0
113,2016-04-23,韭黄,8.1
114,2016-04-24,韭黄,8.1
115,2016-04-25,韭黄,8.1
116,2016-04-26,韭黄,8.1
117,2016-04-27,韭黄,8.1
118,2016-04-28,韭黄,8.0
119,2016-04-29,韭黄,8.0
120,2016-04-30,韭黄,8.0
121,2016-05-01,韭黄,7.8
122,2016-05-02,韭黄,7.8
123,2016-05-03,韭黄,8.0
124,2016-05-04,韭黄,8.0
125,2016-05-05,韭黄,7.8
126,2016-05-06,韭黄,7.8
127,2016-05-07,韭黄,8.0
128,2016-05-08,韭黄,8.0
129,2016-05-09,韭黄,7.8
130,2016-05-10,韭黄,8.0
131,2016-05-11,韭黄,8.0
132,2016-05-12,韭黄,8.0
133,2016-05-13,韭黄,8.0
134,2016-05-14,韭黄,8.0
135,2016-05-15,韭黄,8.0
136,2016-05-16,韭黄,8.0
137,2016-05-17,韭黄,8.2
138,2016-05-18,韭黄,8.5
139,2016-05-19,韭黄,8.4
140,2016-05-20,韭黄,8.0
141,2016-05-21,韭黄,8.0
142,2016-05-22,韭黄,8.0
143,2016-05-23,韭黄,8.0
144,2016-05-24,韭黄,8.2
145,2016-05-25,韭黄,8.2
146,2016-05-26,韭黄,7.6
147,2016-05-27,韭黄,7.2
148,2016-05-28,韭黄,6.8
149,2016-05-29,韭黄,6.7
150,2016-05-30,韭黄,7.6
151,2016-05-31,韭黄,7.0
152,2016-06-01,韭黄,7.0
153,2016-06-02,韭黄,7.2
154,2016-06-03,韭黄,7.1
155,2016-06-04,韭黄,7.2
156,2016-06-05,韭黄,7.2
157,2016-06-06,韭黄,7.1
158,2016-06-07,韭黄,7.5
159,2016-06-08,韭黄,7.5
160,2016-06-09,韭黄,7.6
161,2016-06-10,韭黄,7.6
162,2016-06-11,韭黄,7.6
163,2016-06-12,韭黄,7.6
164,2016-06-13,韭黄,7.8
165,2016-06-14,韭黄,8.0
166,2016-06-15,韭黄,7.8
167,2016-06-16,韭黄,7.6
168,2016-06-17,韭黄,7.6
169,2016-06-18,韭黄,7.6
170,2016-06-19,韭黄,7.6
171,2016-06-20,韭黄,7.6
172,2016-06-21,韭黄,7.6
173,2016-06-22,韭黄,7.6
174,2016-06-23,韭黄,8.0
175,2016-06-24,韭黄,8.1
176,2016-06-25,韭黄,8.2
177,2016-06-26,韭黄,8.2
178,2016-06-27,韭黄,8.2
179,2016-06-28,韭黄,8.3
180,2016-06-29,韭黄,8.3
181,2016-06-30,韭黄,8.7
182,2016-07-01,韭黄,9.0
183,2016-07-02,韭黄,9.0
184,2016-07-03,韭黄,9.0
185,2016-07-04,韭黄,9.0
186,2016-07-05,韭黄,9.0
187,2016-07-06,韭黄,9.0
188,2016-07-07,韭黄,9.0
189,2016-07-08,韭黄,9.0
190,2016-07-09,韭黄,9.0
191,2016-07-10,韭黄,9.2
192,2016-07-11,韭黄,9.2
193,2016-07-12,韭黄,9.2
194,2016-07-13,韭黄,9.2
