,date,name,price
0,2016-01-01,马蹄,2.5
1,2016-01-02,马蹄,2.5
2,2016-01-03,马蹄,2.5
3,2016-01-04,马蹄,2.5
4,2016-01-05,马蹄,2.5
5,2016-01-06,马蹄,2.5
6,2016-01-07,马蹄,2.5
7,2016-01-08,马蹄,2.5
8,2016-01-09,马蹄,2.5
9,2016-01-10,马蹄,2.5
10,2016-01-11,马蹄,2.5
11,2016-01-12,马蹄,2.5
12,2016-01-13,马蹄,2.5
13,2016-01-14,马蹄,2.5
14,2016-01-15,马蹄,2.5
15,2016-01-16,马蹄,2.5
16,2016-01-17,马蹄,2.5
17,2016-01-18,马蹄,2.5
18,2016-01-19,马蹄,2.5
19,2016-01-20,马蹄,2.5
20,2016-01-21,马蹄,2.5
21,2016-01-22,马蹄,2.5
22,2016-01-23,马蹄,2.5
23,2016-01-24,马蹄,2.5
24,2016-01-25,马蹄,2.5
25,2016-01-26,马蹄,2.5
26,2016-01-27,马蹄,2.5
27,2016-01-28,马蹄,2.5
28,2016-01-29,马蹄,2.5
29,2016-01-30,马蹄,2.5
30,2016-01-31,马蹄,2.5
31,2016-02-01,马蹄,2.5
32,2016-02-02,马蹄,3.0
33,2016-02-03,马蹄,3.0
34,2016-02-04,马蹄,3.0
35,2016-02-05,马蹄,3.0
36,2016-02-06,马蹄,3.0
37,2016-02-07,马蹄,3.0
38,2016-02-08,马蹄,3.2
39,2016-02-09,马蹄,3.3
40,2016-02-10,马蹄,3.8
41,2016-02-11,马蹄,3.2
42,2016-02-12,马蹄,3.2
43,2016-02-13,马蹄,3.0
44,2016-02-14,马蹄,3.0
45,2016-02-15,马蹄,3.3
46,2016-02-16,马蹄,3.6
47,2016-02-17,马蹄,4.0
48,2016-02-18,马蹄,4.2
49,2016-02-19,马蹄,4.0
50,2016-02-20,马蹄,4.0
51,2016-02-21,马蹄,4.0
52,2016-02-22,马蹄,4.2
53,2016-02-23,马蹄,4.0
54,2016-02-24,马蹄,4.0
55,2016-02-25,马蹄,4.0
56,2016-02-26,马蹄,4.0
57,2016-02-27,马蹄,4.0
58,2016-02-28,马蹄,4.0
59,2016-02-29,马蹄,4.2
60,2016-03-01,马蹄,4.0
61,2016-03-02,马蹄,4.0
62,2016-03-03,马蹄,3.7
63,2016-03-04,马蹄,3.5
64,2016-03-05,马蹄,3.2
65,2016-03-06,马蹄,3.0
66,2016-03-07,马蹄,3.0
67,2016-03-08,马蹄,2.7
68,2016-03-09,马蹄,2.5
69,2016-03-10,马蹄,2.5
70,2016-03-11,马蹄,2.5
71,2016-03-12,马蹄,2.5
72,2016-03-13,马蹄,2.5
73,2016-03-14,马蹄,2.5
74,2016-03-15,马蹄,2.2
75,2016-03-16,马蹄,2.5
76,2016-03-17,马蹄,3.0
77,2016-03-18,马蹄,2.8
78,2016-03-19,马蹄,2.5
79,2016-03-20,马蹄,2.5
80,2016-03-21,马蹄,2.5
81,2016-03-22,马蹄,2.5
82,2016-03-23,马蹄,2.5
83,2016-03-24,马蹄,3.5
84,2016-03-25,马蹄,3.0
85,2016-03-26,马蹄,3.2
86,2016-03-27,马蹄,3.3
87,2016-03-28,马蹄,3.3
88,2016-03-29,马蹄,3.3
89,2016-03-30,马蹄,3.3
90,2016-03-31,马蹄,3.3
91,2016-04-01,马蹄,3.3
92,2016-04-02,马蹄,3.3
93,2016-04-03,马蹄,3.3
94,2016-04-04,马蹄,3.5
95,2016-04-05,马蹄,3.6
96,2016-04-06,马蹄,3.5
97,2016-04-07,马蹄,3.5
98,2016-04-08,马蹄,3.8
99,2016-04-09,马蹄,3.8
100,2016-04-10,马蹄,3.5
101,2016-04-11,马蹄,3.8
102,2016-04-12,马蹄,3.6
103,2016-04-13,马蹄,3.5
104,2016-04-14,马蹄,3.5
105,2016-04-15,马蹄,3.5
106,2016-04-16,马蹄,3.5
107,2016-04-17,马蹄,3.5
108,2016-04-18,马蹄,3.5
109,2016-04-19,马蹄,3.5
110,2016-04-20,马蹄,3.5
111,2016-04-21,马蹄,3.5
112,2016-04-22,马蹄,3.5
113,2016-04-23,马蹄,3.5
114,2016-04-24,马蹄,3.5
115,2016-04-25,马蹄,3.5
116,2016-04-26,马蹄,3.5
117,2016-04-27,马蹄,3.5
118,2016-04-28,马蹄,3.5
119,2016-04-29,马蹄,3.5
120,2016-04-30,马蹄,3.5
121,2016-05-01,马蹄,3.5
122,2016-05-02,马蹄,3.5
123,2016-05-03,马蹄,3.6
124,2016-05-04,马蹄,3.5
125,2016-05-05,马蹄,3.5
126,2016-05-06,马蹄,3.5
127,2016-05-07,马蹄,3.6
128,2016-05-08,马蹄,3.8
129,2016-05-09,马蹄,3.5
130,2016-05-10,马蹄,3.5
131,2016-05-11,马蹄,3.8
132,2016-05-12,马蹄,4.0
133,2016-05-13,马蹄,3.8
134,2016-05-14,马蹄,4.0
135,2016-05-15,马蹄,4.2
136,2016-05-16,马蹄,3.8
137,2016-05-17,马蹄,4.0
138,2016-05-18,马蹄,4.2
139,2016-05-19,马蹄,4.3
140,2016-05-20,马蹄,4.3
141,2016-05-21,马蹄,4.3
142,2016-05-22,马蹄,4.3
143,2016-05-23,马蹄,4.3
144,2016-05-24,马蹄,4.3
145,2016-05-25,马蹄,4.3
146,2016-05-26,马蹄,4.3
