,date,name,price
0,2016-01-01,鲜淮山,3.3
1,2016-01-02,鲜淮山,3.3
2,2016-01-03,鲜淮山,3.3
3,2016-01-04,鲜淮山,3.3
4,2016-01-05,鲜淮山,3.3
5,2016-01-06,鲜淮山,3.3
6,2016-01-07,鲜淮山,3.3
7,2016-01-08,鲜淮山,3.3
8,2016-01-09,鲜淮山,3.3
9,2016-01-10,鲜淮山,3.3
10,2016-01-11,鲜淮山,3.3
11,2016-01-12,鲜淮山,3.3
12,2016-01-13,鲜淮山,3.3
13,2016-01-14,鲜淮山,3.3
14,2016-01-15,鲜淮山,3.3
15,2016-01-16,鲜淮山,3.3
16,2016-01-17,鲜淮山,3.3
17,2016-01-18,鲜淮山,3.3
18,2016-01-19,鲜淮山,3.3
19,2016-01-20,鲜淮山,3.3
20,2016-01-21,鲜淮山,3.3
21,2016-01-22,鲜淮山,3.3
22,2016-01-23,鲜淮山,3.4
23,2016-01-24,鲜淮山,3.4
24,2016-01-25,鲜淮山,3.4
25,2016-01-26,鲜淮山,3.4
26,2016-01-27,鲜淮山,3.4
27,2016-01-28,鲜淮山,3.5
28,2016-01-29,鲜淮山,3.5
29,2016-01-30,鲜淮山,3.5
30,2016-01-31,鲜淮山,3.5
31,2016-02-01,鲜淮山,3.5
32,2016-02-02,鲜淮山,4.0
33,2016-02-03,鲜淮山,4.1
34,2016-02-04,鲜淮山,4.2
35,2016-02-05,鲜淮山,4.2
36,2016-02-06,鲜淮山,4.3
37,2016-02-07,鲜淮山,4.4
38,2016-02-08,鲜淮山,5.0
39,2016-02-09,鲜淮山,4.8
40,2016-02-10,鲜淮山,5.0
41,2016-02-11,鲜淮山,4.5
42,2016-02-12,鲜淮山,4.5
43,2016-02-13,鲜淮山,4.2
44,2016-02-14,鲜淮山,3.8
45,2016-02-15,鲜淮山,3.8
46,2016-02-16,鲜淮山,3.8
47,2016-02-17,鲜淮山,3.8
48,2016-02-18,鲜淮山,3.9
49,2016-02-19,鲜淮山,4.0
50,2016-02-20,鲜淮山,4.0
51,2016-02-21,鲜淮山,4.0
52,2016-02-22,鲜淮山,3.9
53,2016-02-23,鲜淮山,4.0
54,2016-02-24,鲜淮山,4.3
55,2016-02-25,鲜淮山,4.3
56,2016-02-26,鲜淮山,4.5
57,2016-02-27,鲜淮山,4.3
58,2016-02-28,鲜淮山,4.5
59,2016-02-29,鲜淮山,4.0
60,2016-03-01,鲜淮山,4.5
61,2016-03-02,鲜淮山,4.2
62,2016-03-03,鲜淮山,4.0
63,2016-03-04,鲜淮山,3.7
64,2016-03-05,鲜淮山,3.5
65,2016-03-06,鲜淮山,3.0
66,2016-03-07,鲜淮山,3.0
67,2016-03-08,鲜淮山,2.7
68,2016-03-09,鲜淮山,2.7
69,2016-03-10,鲜淮山,2.9
70,2016-03-11,鲜淮山,2.9
71,2016-03-12,鲜淮山,2.9
72,2016-03-13,鲜淮山,2.9
