,date,name,price
0,2016-01-01,鲜虫草,23.4
1,2016-01-02,鲜虫草,23.4
2,2016-01-03,鲜虫草,23.4
3,2016-01-04,鲜虫草,23.4
4,2016-01-05,鲜虫草,23.0
5,2016-01-06,鲜虫草,23.0
6,2016-01-07,鲜虫草,23.0
7,2016-01-08,鲜虫草,23.0
8,2016-01-09,鲜虫草,23.0
9,2016-01-10,鲜虫草,23.0
10,2016-01-11,鲜虫草,23.0
11,2016-01-12,鲜虫草,23.0
12,2016-01-13,鲜虫草,23.0
13,2016-01-14,鲜虫草,23.0
14,2016-01-15,鲜虫草,23.0
15,2016-01-16,鲜虫草,23.0
16,2016-01-17,鲜虫草,23.0
17,2016-01-18,鲜虫草,23.0
18,2016-01-19,鲜虫草,23.0
19,2016-01-20,鲜虫草,23.0
20,2016-01-21,鲜虫草,22.8
21,2016-01-22,鲜虫草,22.8
22,2016-01-23,鲜虫草,22.8
23,2016-01-24,鲜虫草,22.8
24,2016-01-25,鲜虫草,22.8
25,2016-01-26,鲜虫草,22.8
26,2016-01-27,鲜虫草,22.8
27,2016-01-28,鲜虫草,22.6
28,2016-01-29,鲜虫草,22.6
29,2016-01-30,鲜虫草,22.6
30,2016-01-31,鲜虫草,22.6
31,2016-02-01,鲜虫草,22.6
32,2016-02-02,鲜虫草,22.0
33,2016-02-03,鲜虫草,21.0
34,2016-02-04,鲜虫草,21.0
35,2016-02-05,鲜虫草,21.0
36,2016-02-06,鲜虫草,21.0
37,2016-02-07,鲜虫草,21.0
38,2016-02-08,鲜虫草,21.0
39,2016-02-09,鲜虫草,20.8
40,2016-02-10,鲜虫草,20.8
41,2016-02-11,鲜虫草,21.0
42,2016-02-12,鲜虫草,21.0
43,2016-02-13,鲜虫草,21.0
44,2016-02-14,鲜虫草,21.0
45,2016-02-15,鲜虫草,21.0
46,2016-02-16,鲜虫草,21.0
47,2016-02-17,鲜虫草,21.0
48,2016-02-18,鲜虫草,21.0
49,2016-02-19,鲜虫草,21.0
50,2016-02-20,鲜虫草,21.0
51,2016-02-21,鲜虫草,21.0
52,2016-02-22,鲜虫草,21.0
53,2016-02-23,鲜虫草,21.0
54,2016-02-24,鲜虫草,20.0
55,2016-02-25,鲜虫草,20.0
56,2016-02-26,鲜虫草,20.0
57,2016-02-27,鲜虫草,20.0
58,2016-02-28,鲜虫草,20.0
59,2016-02-29,鲜虫草,20.0
60,2016-03-01,鲜虫草,20.0
61,2016-03-02,鲜虫草,20.0
62,2016-03-03,鲜虫草,20.0
63,2016-03-04,鲜虫草,20.0
64,2016-03-05,鲜虫草,20.0
65,2016-03-06,鲜虫草,20.0
